Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 17240,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),866,"Hodgdon, R. F.",09/30/1880,,North Atlantic Ocean,,,Canada,Nova Scotia,,,Banquereau Bank,,,,Gloucester Fisheries,Schooner Bessie W. Somes,,,,,,,,,,,0,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/3bc393c20-204d-483d-8cc6-18a29ccf05c2
USNM 17241,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),309,"Bartlett, J. R.",06/30/1880,,North Atlantic Ocean,,,United States,Massachusetts,,,"Georges Bank, off NE end of",40.1944,-68.3667,,U.S. Coast Survey,Blake R/V,,,,556.00,,,,USFC/FCBK309,,,0,,,,,,,,5/18/21 21:02,http://n2t.net/ark:/65665/38b29eca8-d93a-4202-b64e-600efa590b72
USNM 21838,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),838,"Morrisey, J. D.",09/14/1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,"Grand Banks, Western Edge",,,,,Schooner Plymouth Rock,,,,,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/344591776-903e-4019-b2a9-c23da5d74055
USNM 21841,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),1124,,08/26/1882,Trawl,North Atlantic Ocean,,,United States,Massachusetts,,,"Georges Bank, SW Edge",40.02,-68.9,,,Fish Hawk R/V,,,,1170.00,,,,,,,0,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/34cab14a9-3280-4784-a97b-ba4c75bbb426
USNM 30191,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),1124,,08/26/1882,Trawl,North Atlantic Ocean,,,United States,Massachusetts,,,"Georges Bank, SW Edge",40.02,-68.9,,,Fish Hawk R/V,,,,1170.00,,,,,,,0,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/35cd4e279-b1e3-4214-829a-fc37f5e548be
USNM 30197,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),837,"Markerson, K.",09/14/1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,"Grand Banks, SW Edge",,,,,Schooner Plymouth Rock,,,,366.00,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/304df702f-ed84-4bd1-a2b4-a0d28acda18f
USNM 30215,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),804,"Morrisey, J. D.",08/16/1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,"Grand Banks, Western Edge",,,,,Schooner Plymouth Rock,,,,,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/32d50f784-3aa2-4e02-82b5-8896d84ec9ea
USNM 30271,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2229,United States Fish Commission,09/11/1884,Trawl - Large Beam,North Atlantic Ocean,,,United States,Virginia,,,,37.6444,-73.275,,,Albatross R/V,,,,2602.00,,,,USFC/A2229,,,0,,,,,,,,11/11/18 21:16,http://n2t.net/ark:/65665/3483a53a7-3924-43a2-8937-14aeda36d958
USNM 33582,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3 Fragment(s),,Dry,808,"O'Brien, D.",08/16/1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,"Grand Banks, Edge Of",,,,,Schooner Guy Cunningham,,,,549.00,,,,,,,0,,,,,,,,1/27/21 20:25,http://n2t.net/ark:/65665/31a7ac210-91e2-4cc0-8c0d-bd3e4532fc0e
USNM 33583,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,Verrill. 1878. Am. J. Sci. 16: 376.,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Goodwin, T.",2/20/09,,North Atlantic Ocean,,,Canada,Nova Scotia,,,Off Western Banks,,,,,Elisha Crowell R/V,,,,549.00,,,,,,,,,,,,,,,1/15/17 18:07,http://n2t.net/ark:/65665/3e0342eb3-3c8f-4009-9964-94c4189d9302
USNM 42588,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Hargitt, C.",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),,"Hargitt, C.",,,,,,,,,,,,,,,,,,,,,,,,,,97540,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/35df7003d-9510-4f17-838d-309d41cc0dd2
