Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 1405173,Specimen/Lot,"Acanthogorgia hirsuta Gray, 1857",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Cairns, Stephen D., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",20-Mar,"Acanthogorgia hirsuta Gray, 1857 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,9082,,7/2/71,,North Atlantic Ocean,,,Morocco,,,,,,,,,Meteor R/V,,,,,,,,,,,307807,,,,,,,,4/5/20 15:32,http://n2t.net/ark:/65665/38855b9ba-22d4-4272-aeda-036b7b7c039f
USNM 84373,Specimen/Lot,Acanthogorgia incrustans Kukenthal,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Feb-93,Acanthogorgia incrustans Kukenthal : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Sub Antarctic collection,1 ca.,,Alcohol (Ethanol),1536,University of Southern California,2/9/70,Trawl - Blake,South Atlantic Ocean,Scotia Sea,,,,,,South Georgia Island,-54.5,-39.342,,USAP,Eltanin R/V,22,,,686.00,,,,USARP/EL/22/1536/USC,,,372336,,,,,,,,10/21/18 12:44,http://n2t.net/ark:/65665/3601114ef-8ebd-428e-af62-a42c11d07153
USNM 84374,Specimen/Lot,Acanthogorgia incrustans Kukenthal,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",24-Feb-93,Acanthogorgia incrustans Kukenthal : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Sub Antarctic collection,1 ca.,,Alcohol (Ethanol),2,"Smithsonian Oceanographic Sorting Center; Walter, T. C.",11/30/90,Trawl,South Atlantic Ocean,Scotia Sea,,,,,,"South Georgia Island, Shag Rocks",-53.33,-42.7,,USAP,Professor Siedlecki R/V,86-01,,,514.00,,,,USARP/PR/8601/2/SOSC,,,376773,,,,,,,,7/27/18 6:04,http://n2t.net/ark:/65665/3f933b43f-1ac5-4792-8a04-3ae4e4760ac3
USNM 82120,Specimen/Lot,Acanthogorgia incrustans Kukenthal,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",20-Apr-92,Acanthogorgia incrustans Kukenthal : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Polar antarctic collection,2,,Alcohol (Ethanol),2-May,"Hendler, G.; Smithsonian Oceanographic Sorting Center",3/17/86,Trawl - Blake,Antarctic Ocean,,,Antarctica,,,,"Antarctic Peninsula, Pitt Islands",-65.9083,-65.2917,,USAP,Hero R/V,824,,,270.00,,,,USARP/HE/824/5-1/SOSC-H,,,372336,,,,,,,,10/21/18 14:37,http://n2t.net/ark:/65665/3292d7eff-983f-4d20-97eb-c60ea464db48
USNM 88766,Specimen/Lot,Acanthogorgia incrustans Kukenthal,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",1991,Acanthogorgia incrustans Kukenthal : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Polar antarctic collection,1 ca.,,Alcohol (Ethanol),1812,University of Maine,2/20/77,"Trawl - Otter, Benthic",Antarctic Ocean,,,Antarctica,,,,"Antarctic Peninsula, Palmer Archipelago, Anvers Island, Neumayer Channel",-64.865,-63.6625,,USAP,Hero R/V,731,,,300.00,,,,USARP/HE/731/1812/UME,,,372336,,,,,,,,10/21/18 14:38,http://n2t.net/ark:/65665/3254eabfc-dca4-40fd-b38e-d42faa545d66
USNM 98411,Specimen/Lot,"Acanthogorgia incrustata Kukenthal, 1919",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",23-Jul-00,"Acanthogorgia incrustata Kukenthal, 1919 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Sub Antarctic collection,14 Fragment(s),,Alcohol (Ethanol),1067,University of Southern California,4/9/68,Trawl - Blake,South Atlantic Ocean,Scotia Sea,,,,,,"Scotia Ridge, between South Orkney and Shetland Islands",-59.95,-34.617,,USAP,Eltanin R/V,12,,,1153.00,,,,USARP/EL/12/1067/USC,,,372336,,,,,,,,1/27/21 20:27,http://n2t.net/ark:/65665/330259dbb-f030-4763-bf96-27e2badb25f9
USNM 98412,Specimen/Lot,"Acanthogorgia incrustata Kukenthal, 1919",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",23-Jul-00,"Acanthogorgia incrustata Kukenthal, 1919 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Polar antarctic collection,1,,Alcohol (Ethanol),21-1,"Hendler, G.; Smithsonian Oceanographic Sorting Center",3/24/86,Trawl - Blake,Antarctic Ocean,,,Antarctica,,,,"Antarctic Peninsula, Palmer Archipelago, Liege Island",-64.3592,-61.4833,,USAP,Hero R/V,824,,,155.00,,,,USARP/HE/824/21-1/SOSC-H,,,372336,,,,,,,,10/21/18 14:41,http://n2t.net/ark:/65665/34239933f-ba56-4de5-9b13-e30b8c455f9d
USNM 80160,Specimen/Lot,"Acanthogorgia incrustata Kukenthal, 1919",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",31-Aug-00,"Acanthogorgia incrustata Kukenthal, 1919 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Sub Antarctic collection,1,,Alcohol (Ethanol),65,Smithsonian Oceanographic Sorting Center,6/1/79,Trawl - Blake,South Atlantic Ocean,Scotia Sea,,South Sandwich Islands,,,,"Visokoi Island, near island",-56.7383,-26.9767,,USAP,Islas Orcadas R/V,575,,,375.00,,,,USARP/IS/575/65/SOSC,,,372336,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/35c22f0e9-b2ae-4464-87bf-0303b0c84919
USNM 80161,Specimen/Lot,"Acanthogorgia incrustata Kukenthal, 1919",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",31-Aug-00,"Acanthogorgia incrustata Kukenthal, 1919 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Polar antarctic collection,5,,Alcohol (Ethanol),1944,University of Southern California,2/3/71,Trawl - Blake,Antarctic Ocean,Ross Sea,,Antarctica,,,,"Victoria Land, Scott Island Bank",-67.38,-179.97,,USAP,Eltanin R/V,27,,,595.00,,,,USARP/EL/27/1944/USC,,,372336,,,,,,,,3/14/17 17:31,http://n2t.net/ark:/65665/3ff0d38e9-c721-4522-8ddc-583ce68c081a
USNM 1077456,Specimen/Lot,"Acanthogorgia media Thomson & Henderson, 1905",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",20-Oct-85,"Acanthogorgia media Thomson & Henderson, 1905 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,5,,Alcohol (Ethanol),18,,3/22/67,,Indian Ocean,Andaman Sea,,Thailand,,,,"Phuket Island, West Of",7.57,98,,IIOE,Te Vega R/V,1,,,77.00,,,,,,,260812,,,,,,,,1/15/17 18:30,http://n2t.net/ark:/65665/38db2da4f-fae8-40be-8b53-3fd1a5b37f81
USNM 1079355,Specimen/Lot,"Acanthogorgia media Thomson & Henderson, 1905",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",20-Nov-85,"Acanthogorgia media Thomson & Henderson, 1905 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),202C,,11/15/67,Trawl,Indian Ocean,Arabian Sea,,India,,,,W Of Bombay,18.45,71.22,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,4B,,,84.00,,,,,,,260812,,,,,,,,1/15/17 18:30,http://n2t.net/ark:/65665/35023f06e-e0da-4d66-8eb7-314ca315abb7
USNM 1080643,Specimen/Lot,"Acanthogorgia media Thomson & Henderson, 1905",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",21-Nov-85,"Acanthogorgia media Thomson & Henderson, 1905 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),203A,,11/15/67,,Indian Ocean,Arabian Sea,,India,,,,Bombay,19.12,71.68,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,4B,,,69.00,,,,,,,260812,,,,,,,,1/15/17 18:30,http://n2t.net/ark:/65665/34c326e61-e757-4d83-80ff-f081779bd95c
USNM 43154,Specimen/Lot,"Acanthogorgia muricata Verrill, 1883",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Acanthogorgia muricata Verrill, 1883 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),260,,12/16/1899,,South Pacific Ocean,Banda Sea,,Indonesia,Moluccas,,,"Kai Islands, Kai Island, Nuhujaan, 2.3 Mile NW Of North Point",-5.6083,132.92,,Siboga Expedition,Siboga R/V,,,"Sand, mud and shells",90.00,,,,,,,131487,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/334993d74-f3c7-4dcd-adfe-f8e639c600f4
USNM 1080650,Specimen/Lot,"Acanthogorgia muricata Verrill, 1883",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",19-Sep-85,"Acanthogorgia muricata Verrill, 1883 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),39,,4/1/67,,Indian Ocean,Andaman Sea,,Burma,,,,South Of,14.7,97.08,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,1,,,22.00,,,,,,,260812,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3e5956a6d-24ca-4f0a-af23-70faca262ec7
USNM 30035,Specimen/Lot,"Acanthogorgia paradoxa Nutting, 1913",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Acanthogorgia paradoxa Nutting, 1913 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,"Nutting. 1912. Proc. U.S. Natl. Mus. 43: 74, pl. 11, fig. 1,1a, pl. 19, fig. 5.",,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol); Slide,4890,United States Fish Commission,8/10/10,"Trawl - Agassiz beam, 9 ft",North Pacific Ocean,East China Sea,,Japan,,,,"Goto Islands, Fukue Island, South of",32.4417,128.608,,Northwestern Pacific Expedition,Albatross R/V,,,,247.00,,,,USFC/A4890,,,51381,,,,,,,,11/25/19 19:18,http://n2t.net/ark:/65665/3b5ff850a-5423-4c3a-9df8-e43d303fb85a
USNM 30080,Specimen/Lot,"Acanthogorgia paradoxa Nutting, 1913",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Acanthogorgia paradoxa Nutting, 1913 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Paratype,"Nutting. 1912. Proc. U.S. Natl. Mus. 43: 74, pl. 11, fig. 1,1a, pl. 19, fig. 5.",,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),5070,United States Fish Commission,10/16/10,tangle swabs,North Pacific Ocean,Suruga Gulf,,Japan,Shizuoka,,,"Honshu Island, Numazu, Suruga Bay",35.0569,138.794,,Northwestern Pacific Expedition,Albatross R/V,,,,198.00,,,,USFC/A5070,,,51381,,,,,,,,7/7/19 15:09,http://n2t.net/ark:/65665/3a2e48321-ca07-48f2-8770-88e91ff41c65
USNM 30081,Specimen/Lot,"Acanthogorgia paradoxa Nutting, 1913",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Acanthogorgia paradoxa Nutting, 1913 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Paratype,"Nutting. 1912. Proc. U.S. Natl. Mus. 43: 74, pl. 11, fig. 1,1a, pl. 19, fig. 5.",,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),5070,United States Fish Commission,10/16/10,tangle swabs,North Pacific Ocean,Suruga Gulf,,Japan,Shizuoka,,,"Honshu Island, Numazu, Suruga Bay",35.0569,138.794,,Northwestern Pacific Expedition,Albatross R/V,,,,198.00,,,,USFC/A5070,,,51381,,,,,,,,7/7/19 15:09,http://n2t.net/ark:/65665/38fef1b3b-4034-4010-95db-b47b7e54606f
USNM 91880,Specimen/Lot,"Acanthogorgia paradoxa Nutting, 1913",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Acanthogorgia paradoxa Nutting, 1913 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria","Thesea placoderma Nutting, 1910; Paracis placoderma (Nutting, 1910)",Paratype,"Nutting. 1912. Proc. U.S. Natl. Mus. 43: 74, pl. 11, fig. 1,1a, pl. 19, fig. 5.",,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),4894,United States Fish Commission,8/10/10,tangle swabs,North Pacific Ocean,East China Sea,,Japan,,,,"Goto Islands, Fukue Island, South of",32.55,128.536,,Northwestern Pacific Expedition,Albatross R/V,,,,174.00,,,,USFC/A4894,,,131487,,,,,,,,7/1/19 15:13,http://n2t.net/ark:/65665/384fd679e-4d1a-4bcb-a780-b06b622d2e99
USNM 1221648,Specimen/Lot,"Acanthogorgia ridleyi Wright & Studer, 1889",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,"Acanthogorgia ridleyi Wright & Studer, 1889 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),307,,01/04/1876,,South Pacific Ocean,,,Chile,,,,,-49.4,-74.38,,,Challenger R/V,,,,269.00,,,,,,catalog number : 20929,392622,,,,,,,,9/28/17 18:15,http://n2t.net/ark:/65665/3c0c8bcde-aac3-4ec7-a3ed-984e5aafc0b4
USNM 43027,Specimen/Lot,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Deichmann, Elizabeth",,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,2354,United States Fish Commission,01/22/1885,Trawl - Small Beam,North Atlantic Ocean,Caribbean Sea,,Mexico,Quintana Roo,,,"Yucatan Channel, Cozumel Island",20.9917,-86.3958,,,Albatross R/V,,,,238.00,,,,USFC/A2354,,,0,,,,,,,,12/17/18 20:57,http://n2t.net/ark:/65665/3e22c1dee-ddb3-4f3a-a7fd-8e40224cbfb1
USNM 49420,Specimen/Lot,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),36,"Nutting, C. C.",5/24/22,,North Atlantic Ocean,Caribbean Sea,,Barbados,,,,"Pelican Island, Carlisle Bay, SW Side Of Bay 2 Mile Off",13.17,-59.53,,University of Iowa Barbados - Antigua Expedition,Sloop Resolute,,,"Rocky bottom, tangles",165.00,,,,,,,131487,,,,,,,,6/19/17 19:10,http://n2t.net/ark:/65665/32e80a531-9782-4703-ac2f-722da35c1609
USNM 49429,Specimen/Lot,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),2354,United States Fish Commission,01/22/1885,Trawl - Small Beam,North Atlantic Ocean,Caribbean Sea,,Mexico,Quintana Roo,,,"Yucatan Channel, Cozumel Island",20.9917,-86.3958,,,Albatross R/V,,,,238.00,,,,USFC/A2354,,,0,,,,,,,,12/17/18 20:57,http://n2t.net/ark:/65665/3413d4699-36be-4edf-9fd2-9496c300ba06
USNM 49472,Specimen/Lot,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,2354,United States Fish Commission,01/22/1885,Trawl - Small Beam,North Atlantic Ocean,Caribbean Sea,,Mexico,Quintana Roo,,,"Yucatan Channel, Cozumel Island",20.9917,-86.3958,,,Albatross R/V,,,,238.00,,,,USFC/A2354,,,0,,,,,,,,12/17/18 20:57,http://n2t.net/ark:/65665/359afe383-c75e-461e-bce7-0e1616713858
USNM 50493,Specimen/Lot,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),1283,,3/14/59,,North Atlantic Ocean,Gulf of Mexico,,United States,Louisiana,,,Mississippi Delta,29.1,-88.3167,,,Oregon R/V,,,,476.00,,,,,,,206422,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3b1647d0d-3b17-4e7f-8073-6425046bf8a4
USNM 50522,Specimen/Lot,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),1048,,5/14/58,,North Atlantic Ocean,Gulf of Mexico,,Mexico,Yucatan,,,"Campeche Bank, North Of",21.2833,-91.3,,,Oregon R/V,,,,37.00,,,,,,,211231,,,,,,,,7/27/18 6:36,http://n2t.net/ark:/65665/396d18a0d-cf35-4cd7-b372-ce8a0736ed17
USNM 50908,Specimen/Lot,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2066,,11/16/61,,North Atlantic Ocean,,,Brazil,Para,,,NE Of Mouth Of Amazon River,2.6667,-47.9167,,,Oregon R/V,,,,201.00,,,,,,,215284,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3a45377a6-7914-4cb0-ab5f-a577a22c9273
USNM 94533,Specimen/Lot,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia schrammi (Duchassaing & Michelotti, 1864) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),1150,,1/16/74,,North Atlantic Ocean,Caribbean Sea,,Dominican Republic,,,,"Monte Cristi, NE Of",19.95,-71.3667,,,Pillsbury R/V,7001,,,229.00,,,,,,,295887,,,,,,,,7/27/18 6:03,http://n2t.net/ark:/65665/367b952cf-02c8-4bc0-9e3c-7cc10fcbe167
USNM 100339,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Goh, N.",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Goh, N.",6/14/09,,North Pacific Ocean,,,Singapore,,,,Raffles Lighthouse,,,,,,,,,,,,,,,,1046589,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3bcd3a1f2-0f3b-402a-b764-ff0a50b0aa61
USNM 100340,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",1993,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,"Acanthogorgia boninensis Aurivillius, 1931",,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Goh, N.",6/13/09,,North Pacific Ocean,,,Singapore,,,,Raffles Lighthouse,,,,,,,,,,,,,,,,1046589,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/34c72c7a8-7b08-4fe8-ba78-9412505d6f2e
USNM 100767,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",18-Aug-96,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),,"Messing, C. G.",5/31/96,,South Pacific Ocean,Bismarck Sea,,Papua New Guinea,,,,"Bagabag Island, South Side, Barrier Reef Wall, 62 Km NE Of Madang",,,,,,,,,,,,,,,,411004,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/32eeb112d-0e04-4fe5-ab14-e977336a4e34
USNM 25381,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),4156,United States Fish Commission,8/7/06,"Trawl - Blake Beam, 5.5 ft",North Pacific Ocean,,,United States,Hawaii,,,Nihoa Island,,,,Hawaiian Explorations,Albatross R/V,,,,1039.00,,,,USFC/A4156,,,47082,,,,,,,,5/14/19 18:12,http://n2t.net/ark:/65665/3582ccfed-1805-4dac-ac73-d83a4c84a719
USNM 49597,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3742,United States Fish Commission,5/20/04,"Trawl - Blake Beam, 5.5 ft",North Pacific Ocean,,,Japan,Chiba,,,"Honshu Island, Sagami Bay, Suno Saki",34.9666,139.747,,,Albatross R/V,,,,161.00,,,,USFC/A3742,,,0,,,,,,,,4/22/19 19:59,http://n2t.net/ark:/65665/317236014-c4e2-41e7-9640-22b014a06c77
