¥éËCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 75471,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1483,"Bolland, R. F.",6/29/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,40.00,,,,BOLLAND/RFB 1483,,Original Number : OK0886RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/36030bfea-f902-4e6a-be0e-9a7b0f9a7d2c
USNM 75769,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/28/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.63,127.85,,,,,,,10.00,,,,,,Original Number : OK0077KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3afe7b679-aebe-4369-b412-eaeea948d9a0
USNM 75770,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/28/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.63,127.85,,,,,,,19.00,,,,,,Original Number : OK0079KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3deb9d9e2-592a-43bd-92a2-c16df5ab8967
USNM 75897,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,RFB 0961,"Bolland, R. F.",11/12/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,64.00,,,,BOLLAND/RFB 0961,,Original Number : OK0236RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/35f92352b-79b8-4c90-9247-bb4fe29cd635
USNM 76026,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/2/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.63,127.85,,,,,,,20.00,,,,,,Original Number : OK0404KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/318975b1f-cbd3-4376-a3e6-90af632c6b91
USNM 76029,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/19/86,,North Pacific Ocean,,,Japan,,,,"Kerama, Kuroshima",26.25,127.4,,,,,,,20.00,,,,,,Original Number : OK0407KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3ce4e34ac-7dad-474a-8257-01d0c6cb4961
USNM 76035,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/19/86,,North Pacific Ocean,,,Japan,,,,"Kerama, Kuroshima",26.25,127.4,,,,,,,23.00,,,,,,Original Number : OK0414KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3a7b5af51-938c-4846-b0ce-e673f1aa696d
USNM 76039,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/19/86,,North Pacific Ocean,,,Japan,,,,"Kerama, Tokashiki",26.2083,127.37,,,,,,,23.00,,,,,,Original Number : OK0418KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/32f751428-7914-4e8a-af2a-58256346a875
USNM 76076,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/30/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,22.00,,,,,,Original Number : OK0459KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3186902b3-1029-4c13-b4b9-988eb2d9538d
USNM 76078,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/30/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,22.00,,,,,,Original Number : OK0463KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3bc0dfa82-539f-4a33-bc1e-50903abbc5a3
USNM 76106,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",10/3/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Adakajima",26.75,128.33,,,,,,,27.00,,,,,,Original Number : OK0493KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3ae8190d9-8a8c-48e3-a899-52a7757216ad
USNM 76142,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",4/21/87,,North Pacific Ocean,,,Japan,,,,"Kumejima, Tonbara Iwa",26.27,126.825,,,,,,,30.00,,,,,,Original Number : OK0531KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3f8e1f0d7-c3c3-4575-a66e-e3afa1aae720
USNM 76242,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",12/11/87,,North Pacific Ocean,,,Japan,,,,"Kerama, Higashi Gahi",26.22,127.28,,,,,,,20.00,,,,,,Original Number : OK0650KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/376033798-db38-4c50-8f3f-79ecb2706f5f
USNM 1015655,Specimen/Lot,"Acalycigorgia grandiflora Kukenthal & Gorzawsky, 1908",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,1979,"Acalycigorgia grandiflora Kukenthal & Gorzawsky, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),1,Turkay,6/2/09,,North Pacific Ocean,,,Japan,Kochi,,Kochi,"Okino Shima Island, East coast of Hime Jima Island",34.57,131.52,,,,,,,20.00,,,,,,,401987,,,,,,,,1/15/17 18:29,http://n2t.net/ark:/65665/3a2889af8-b670-46d3-a0f0-7d5c9eeede0d
USNM 1080276,Specimen/Lot,"Acalycigorgia inermis (Hedlund, 1890)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",11-Mar-86,"Acalycigorgia inermis (Hedlund, 1890) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),442,,12/17/68,Trawl,Indian Ocean,,,Somalia,,,,Off NE Coast,9.55,50.98,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,9,,,80.00,,,,,,,260812,,,,,,,,1/15/17 18:30,http://n2t.net/ark:/65665/32fe98aaa-f152-4736-8c72-726d337074e3
