Specimen#,Family,Subfamily,Genus,Species,Location,Depth,Coordinates,Latitude,Longitude,Collection Date,Vessel,Dive#,Station,Museum ID,Preservation,GenBank,Order,Suborder,Donated by,Taxonomic notes,Manuscripts,Grants
OAD10,Acanthogorgiidae,,Acanthogorgia,,"Kaena Point, Oahu Island, Hawaii",1094,21°32.544’N 158°22.701’W,,,09/17/1996,R/V Kaimikai-o-Kanaloa/DSV Pisces V,P5-299,OAD-106,USNM 98803,Frozen,,Alcyonacea,Holaxonia,,,,
LAD42,Acanthogorgiidae,,Acanthogorgia,sp. E,"SW of Keanapapa Pt., Lanai, Hawaii",1174,20°46.956’N 157°08.932’W,,,09/20/1996,R/V Kaimikai-o-Kanaloa/DSV Pisces V,P5-301,LAD-109,USNM 98802,Frozen,FJ264912 cox2-cox1; FJ389261 18S; FJ642930 28S; GU563307 msh1,Alcyonacea,Holaxonia,,,"McFadden et al (2011) MER
CnidToL (2010)",
BI1043,Acanthogorgiidae,,Acanthogorgia,,"Northwest Flank, Bishop Seamount, Pacific",1295,"18°48.81’N, 159°3.52’W",,,08/25/1993,"R/V Kila, Pisces V",PV237,BI104,USNM 94442,Frozen,"AY268461 msh1 complete, AF385319 msh1 5’, AF385304 nd3-msh1, AF052907 18S (Ewann), U40301 16S, DQ297436 nd2",Alcyonacea,Holaxonia,,,"France et al (1996) MMBB
Berntson et al (2001) Mar Biol",
EB16,Acanthogorgiidae,,Calcigorgia,spiculifera,Aleutian Islands,431,"53°11.67’N, 169°41.07’W",,,06/11/1994,F/V Vesteraalen,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Frederick Bayer,,,
55837,Acanthogorgiidae,,Acanthogorgia,"armata Verrill, 1878","Norfolk Canyon, Atlantic, off Virginia Beach, USA",620-750,"37°01’24”N, 074°34’12”W",,,09/20/1975,R/V Gilliss,,,USNM 55837,Ethanol (unknown %),,Alcyonacea,Holaxonia,Frederick Bayer,,,
AKPB8021,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,"40
","52°13.5’N, 179°53.3’W",,,07/16/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKSI1013,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,27,"51°52.2’N, 179°49.9’W",,,07/17/2002,Delta Submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKPB4011,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,175,"52°32.7’N, -179°33.8’W",,,07/15/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKDI1021,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,126,"51°24.0’N, -179°01.6’W",,,07/18/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKPB6011,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,115,"52°29.9’N, -179°47.2’W",,,07/16/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKSI1012,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,27,"51°52.2’N, 179°49.9’W",,,07/17/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKNLT1021,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,28,"51°53.1’N, -176°11.3’W",,,07/22/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKNLT1041,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,25,"51°53.0’N, -176°11.4’W",,,07/22/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKDI1011,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,182,"51°23.9’N, -179°01.9’W",,,07/18/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKSI1011,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,27,"51°52.2’N, 179°49.9’W",,,07/17/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,,
AKPB8011,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,40,"52°13.5’N, 179°53.3’W",,,07/16/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,
AKLT1021,Acanthogorgiidae,,Calcigorgia,,Aleutian Island,72,"51°47.4’N, -176°15.7’W",,,07/13/2002,Delta submersible,,,,Ethanol (unknown %),,Alcyonacea,Holaxonia,Bob Stone,,
C010522,Acanthogorgiidae,,Acanthogorgia,,"Arafura Sea, NT, Australia",169,09°59.00' S 130°10.00' E,,,11/16/1990,,,,MAGNT C010522,,,Alcyonacea,Holaxonia,Cathy McFadden,,
C012549,Acanthogorgiidae,,Acanthogorgia,,"Andys Hill, approx. 69.7km SSE of SE Cape, Tas, Australia",900-1100,44°12'S 146°57'E,,,01/29/1997,,,,MAGNT C012549,,,Alcyonacea,Holaxonia,Cathy McFadden,,
C012803,Acanthogorgiidae,,Acanthogorgia,,"North Macquarie Ridge, Australia",1023,53°54.7'S 159°01.9'E,,,01/26/1999,,,,MAGNT C012803,,,Alcyonacea,Holaxonia,Cathy McFadden,,
C012327,Acanthogorgiidae,,Acanthogorgia,,"North end of Kungkungak Bay, Bitung, Sulawesi, Indonesia",21,,,,11/21/1994,,,,MAGNT C012327,,,Alcyonacea,Holaxonia,Cathy McFadden,,
C012328,Acanthogorgiidae,,Acanthogorgia,,"North end of Kungkungak Bay, Bitung, Sulawesi, Indonesia",24,,,,11/24/1994,,,,MAGNT C012328,,,Alcyonacea,Holaxonia,Cathy McFadden,,
C011734,Acanthogorgiidae,,Muricella,,"NW Shelf, WA, Australia",16,19°22.00'S 118°48.00'E,,,08/20/1986,,,,MAGNT C011734,,,Alcyonacea,Holaxonia,Cathy McFadden,,
C012445,Acanthogorgiidae,,Muricella,,"S of Franklin Shoal, Arafura Sea, NT, Australia",79,10°08.00'S 129°19.40'E,,,03/19/1995,,,,MAGNT C012445,,,Alcyonacea,Holaxonia,Cathy McFadden,,
100895,Acanthogorgiidae,,Acanthogorgia,"angustiflora Kukenthal & Gorzawsky, 1908","Bear Seamount, New England Seamounts, Atlantic",1439,"39°52’32N, 067°25’19W",,,12/05/2000,R/V Delaware II,Trawl,Cruise DE00-11   16,USNM 100895,Ethanol (unknown %),DQ297418 msh1; DQ297437 nd2,Alcyonacea,Holaxonia,Smithsonian Institution,,
598814A1,Acanthogorgiidae,,Calcigorgia,"beringi (Nutting, 1912)","Aleutian Islands, Alaska",70,"N51 58.802, W176 43.874",,,07/01/2003,Delta Submersible,5988,14A,,95% Ethanol,FJ264910 cox2-cox1; GU563309 msh1,Alcyonacea,Holaxonia,"Bob Stone, NOAA",,McFadden et al (2011) MER
598914B2,Acanthogorgiidae,,Calcigorgia,,"Aleutian Islands, Alaska",134,"N51 57.094, W176 50.341",,,07/01/2003,Delta Submersible,5989,14B,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA",,
BOI09131,Acanthogorgiidae,,Calcigorgia,,"Aleutian Islands, Alaska",25.9,"N51 55.064, W177 25.561",,,07/01/2003,,SCUBA-09,13,,95% Ethanol,"DQ297419 msh1, DQ297438 nd2",Alcyonacea,Holaxonia,"Bob Stone, NOAA",,
BOI09132,Acanthogorgiidae,,Calcigorgia,,"Aleutian Islands, Alaska",29,"N51 55.064, W177 25.561",,,07/01/2003,,SCUBA-09,13,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA",,
BOI09133,Acanthogorgiidae,,Calcigorgia,,"Aleutian Islands, Alaska",29,"N51 55.064, W177 25.561",,,07/01/2003,,SCUBA-09,13,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA",,
599113B4,Acanthogorgiidae,,Cryogorgia,"koolsae Williams, 2005","Aleutian Islands, Alaska",60,"N51 54.252, W17712.755",,,07/01/2003,Delta Submersible,5991,13B,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA",,
59978C3,Acanthogorgiidae,,Calcigorgia,,"S. Amchitka Pass, Aleutian Islands, Alaska",92,"N51 21.78, W179 29.603",,,07/04/2003,Delta Submersible,5997,8C,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA"
59998E1,Acanthogorgiidae,,Calcigorgia,,"Aleutian Islands, Alaska",115,"N51 21.042, W179 30.483",,,07/04/2003,Delta Submersible,5999,8E,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA"
SIP10101,Acanthogorgiidae,,Calcigorgia,,"Aleutian Islands, Alaska",21.6,"N51 52.354, E179 40.134",,,07/05/2003,,SCUBA-10,10,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA"
SIP101011,Acanthogorgiidae,,Calcigorgia,,"Aleutian Islands, Alaska",21.3,"N51 52.354, E179 40.134",,,07/05/2003,,SCUBA-10,10,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA"
600411C3,Acanthogorgiidae,,Calcigorgia,,"Aleutian Islands, Alaska",154,52°45.913’N 179°19.701’W,,,07/06/2003,Delta Submersible,6004,11C,,95% Ethanol,,Alcyonacea,Holaxonia,"Bob Stone, NOAA"
