"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 100805"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"84"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Andreanof Islands, Seguam Island"	52.6	-172.33	NA	NA	"Starlight R/V"	"84-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	412888	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3e6af8746-9580-4a76-845b-eb996411c518"
"USNM 100806"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"haul 161"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Delarof Islands, Amatignak Island"	51	-179	NA	NA	"Pacific Knight R/V"	"941"	NA	NA	NA	NA	NA	NA	NA	NA	NA	412888	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/362e3b6b1-d7df-489c-9a3b-11ed146a955d"
"USNM 100807"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"haul 161"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Delarof Islands, Amatignak Island"	51	-179	NA	NA	"Pacific Knight R/V"	"941"	NA	NA	NA	NA	NA	NA	NA	NA	NA	412888	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3708b61cc-e4c5-45dc-bb39-c44a87d42773"
"USNM 100809"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"haul 153"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Rat Islands, Semisopochoi Island"	52.17	-180	NA	"Aleutian Islands Survey"	"Vesteraalen R/V"	"941"	NA	NA	NA	NA	NA	NA	NA	NA	NA	412888	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3363709ef-77ad-41a8-8a0c-533d574c54d2"
"USNM 100815"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	0	NA	"Dry"	"haul 184"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Andreanof Islands, Kanaga Island"	52	-177	NA	"Aleutian Islands Survey"	"Vesteraalen R/V"	"941"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3304b6025-0288-4613-8b25-3383afbb03fd"
"USNM 100816"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	3	NA	"Dry"	"haul 40"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Fox Islands, Umnak Island"	52.68	-170.82	NA	NA	"Pacific Knight R/V"	"941"	NA	NA	NA	NA	NA	NA	NA	NA	NA	412888	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/38a50e033-aa86-470a-b48b-1305e841810b"
"USNM 60278"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Cairns, Stephen D., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"	"6/2/21"	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	"Calicigorgia spiculifera Broch, 1935"	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Dry"	NA	"Chew, K. K."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Rat Islands, Amchitka Pass, West Of Island"	51.53	-179.25	NA	NA	NA	NA	NA	NA	289	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"6/3/21 14:39"	"http://n2t.net/ark:/65665/3840b9973-14dd-48e2-a7b4-4e764172344e"
"USNM 75091"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"1/11/88"	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	NA	"McDaniel, N."	NA	NA	"North Pacific Ocean"	NA	NA	"Canada"	"British Columbia"	NA	NA	"Queen Charlotte Strait, Near N End Of Vancouver Island"	50.87	-127.47	NA	NA	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	358060	NA	NA	NA	NA	NA	NA	NA	"1/28/21 19:00"	"http://n2t.net/ark:/65665/362126fbe-6ffc-4291-9c60-78e63451e713"
"USNM 8848"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"2/2/00"	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	"Primnoa compressa Verrill, 1865"	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	5	NA	"Dry; Slide"	NA	"Dall, W. H."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Fox Islands, Akutan Pass, Chica Island"	54.12	-165.92	NA	"U.S. Coast Survey"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"10/21/18 13:07"	"http://n2t.net/ark:/65665/364b2eb0a-d9b7-446c-84aa-a9f06aa2cd24"
"USNM 8849"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	"Fanellia compressa (Verrill, 1865); Primnoa compressa Verrill, 1865"	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	2	NA	"Dry"	NA	"Dall, W. H."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Fox Islands, Akutan Pass, Gull Island"	54.12	-165.92	NA	"U.S. Coast Survey"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"reference number : 202"	0	NA	NA	NA	NA	NA	NA	NA	"10/21/18 13:07"	"http://n2t.net/ark:/65665/3563de0b8-9fa6-496a-83f8-4bbdef335005"
"USNM 1006139"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"9/26/05"	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	4	NA	"DRY; Alcohol (Ethanol)"	NA	"Lindner, A."	NA	"snail bag"	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Fox Islands, Unalaska Island"	53.1439	-167.14	NA	"NOAA Expedition 2001"	"Vesteraalen R/V"	"2001-01"	NA	NA	107	NA	NA	NA	"haul 7 #1"	NA	NA	2022850	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3d0cb1e74-31ba-48bb-8c3d-75af94b49f7b"
"USNM 1006226"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"6/9/05"	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"DRY"	NA	"Slear, J."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Rat Islands, Semisopochnoi Island"	51.8925	179.336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AB01-46"	NA	NA	2022850	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3d351e49e-a879-483e-a180-f533c9b47d0a"
"USNM 1006324"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"3/1/05"	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"DRY"	NA	"Palmer, D."	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, southeast of Rat Islands"	52.231	175.159	NA	NA	"Alaska Sea R/V"	NA	NA	NA	183	NA	NA	NA	"AB00-38"	NA	NA	2019546	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/37e18a5cf-a150-4c54-8181-e8b599ae62ec"
"USNM 1012500"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	NA	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol); SEM Stub"	"haul 44"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Fox Islands, Umnak Island"	53.1945	-169.685	NA	NA	"Vesteraalen R/V"	"94-1"	NA	NA	431	NA	NA	NA	"94D #1, 94-15, 32"	NA	NA	412888	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3604a5775-b4b9-4437-b6aa-e998e87d8105"
