"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 1010177"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"6/24/09"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	2	NA	"DRY"	"135"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Rat Islands, Semisopochnoi Island"	52.1756	179.608	NA	NA	"Dominator R/V"	NA	NA	NA	135	NA	NA	NA	NA	NA	NA	2026552	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3d298502c-d549-411c-a6ff-fb46c1222904"
"USNM 1011091"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"6/26/09"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	3	NA	"Alcohol (Ethanol)"	"Dive 5604"	"Melecha, P."	NA	"Submersible"	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Rat Islands, Semisopochnoi Island, Petrel Bank"	52.2243	-179.888	NA	NA	"Delta DSR/V"	NA	NA	NA	40	NA	NA	NA	"AB02-121, sample #27 & 28"	NA	NA	2039591	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3e413aa6f-1e00-4731-8690-ee18f2ebb2a4"
"USNM 1011092"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"6/26/09"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"Dive 5515"	"Stone, R."	NA	"Submersible"	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Rat Islands, Middle Reef"	51.8864	176.189	NA	NA	"Delta DSR/V"	NA	NA	NA	54	NA	NA	NA	"AB02-136, sample #57"	NA	NA	2039591	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/31ae193f5-ec06-44d6-addc-dfeafd138f39"
"USNM 1011273"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"6/26/09"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Dry"	NA	"Stone, R.; Malecha, P.; Courtney, D."	NA	"Scuba"	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Andreanof Islands, Adak Island, Beyer Bay"	51.6427	-176.328	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	"AB02-133, sample #52, 53"	NA	NA	2039591	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/30fd285f1-1a8a-4012-abb4-f1ce6997a716"
"USNM 1011275"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"6/26/09"	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Dry"	"Dive 5515"	"Stone, R."	NA	"Submersible"	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Andreanof Islands, Little Tanaga Pass"	51.8845	-176.189	NA	NA	"Delta DSR/V"	NA	NA	NA	52	NA	NA	NA	"AB02-139, sample #59"	NA	NA	2039591	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/310b03fcc-1498-4edd-8e32-7e821f965bf9"
"USNM 1013069"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	NA	NA	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"haul 121"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Andreanof Islands, Tanaga Island"	51	-178	NA	NA	"Pacific Knight R/V"	NA	NA	NA	375	NA	NA	NA	"94T, 94-18, 4"	NA	NA	412888	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3d693c1a0-a7dd-4865-8975-f7be6d2607cb"
"USNM 1071926"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Dry"	"2354"	"United States Fish Commission"	NA	"Trawl - Small Beam"	"North Atlantic Ocean"	"Caribbean Sea"	NA	"Mexico"	"Quintana Roo"	NA	NA	"Yucatan Channel, Cozumel Island"	20.9917	-86.3958	NA	NA	"Albatross R/V"	NA	NA	NA	238	NA	NA	NA	"USFC/A2354"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/34edb316d-5400-4ab0-9054-f69bb2e7a906"
"USNM 1133587"	"Specimen/Lot"	"Calcigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Stone, Robert, (AFSC/TSMRI), National Marine Fisheries Service (UNITED STATES)"	NA	"Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"6224"	NA	NA	NA	"North Pacific Ocean"	NA	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Andreanof Islands, South of Amilia Island"	51.9716	-173.946	NA	NA	"Delta DSR/V"	NA	NA	NA	96	NA	NA	NA	NA	NA	NA	2035964	NA	NA	NA	NA	NA	NA	NA	"10/9/18 17:15"	"http://n2t.net/ark:/65665/3601bcc17-9505-4fd2-ae3b-fa23cd7ba4d2"
"USNM 100735"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"haul 161"	NA	NA	NA	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Delarof Islands, Amatignak Island"	51	-179	NA	NA	"Pacific Knight R/V"	"941"	NA	NA	NA	NA	NA	NA	NA	NA	NA	412888	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/35f57bd0a-3cf7-4dd2-92f8-dac52879aa7e"
"USNM 100777"	"Specimen/Lot"	"Calcigorgia spiculifera Broch, 1935"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	1	NA	"Alcohol (Ethanol)"	"haul 52"	NA	NA	"Trawl - Noreast"	"North Pacific Ocean"	"Bering Sea"	NA	"United States"	"Alaska"	NA	NA	"Aleutian Islands, Rat Islands, Amchitka Island"	51.23	179.2	NA	NA	NA	"861"	NA	NA	NA	NA	NA	NA	NA	NA	NA	395425	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/31375c9f4-c816-4c79-8aa9-8616390134d8"
