"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 30271"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"2229"	"United States Fish Commission"	2009-11-18	"Trawl - Large Beam"	"North Atlantic Ocean"	NA	NA	"United States"	"Virginia"	NA	NA	NA	37.6444	-73.275	NA	NA	"Albatross R/V"	NA	NA	NA	2602	NA	NA	NA	"USFC/A2229"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"11/11/18 21:16"	"http://n2t.net/ark:/65665/3483a53a7-3924-43a2-8937-14aeda36d958"
"USNM 4559"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	NA	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Dry"	"436"	"Hamlin, P."	NA	NA	"North Atlantic Ocean"	NA	NA	"Canada"	"Nova Scotia"	NA	NA	"Banquereau Bank, South Of"	44	-58.5	NA	NA	"Schooner Andrew Leighton"	NA	NA	NA	292	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/3082a0c04-40db-4a07-b51f-05bff898ae48"
"USNM 4560"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	NA	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Dry"	"436"	"Hamlin, P."	NA	NA	"North Atlantic Ocean"	NA	NA	"Canada"	"Nova Scotia"	NA	NA	"Banquereau Bank, South Of"	44	-58.5	NA	NA	"Schooner Andrew Leighton"	NA	NA	NA	292	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:11"	"http://n2t.net/ark:/65665/38bd0b423-e9c8-42e8-8c24-91363df44c3a"
"USNM 49512"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"2046"	"United States Fish Commission"	NA	"Trawl - Beam"	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Nantucket Shoals, SE of"	40.0469	-68.8167	NA	NA	"Albatross R/V"	NA	NA	NA	744	NA	NA	NA	"USFC/A2046"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"10/28/18 18:27"	"http://n2t.net/ark:/65665/3c3bedb48-34a6-4ba4-9670-919f4f53e1e8"
"USNM 55837"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"4"	NA	"Alcohol (Ethanol)"	"101"	NA	NA	NA	"North Atlantic Ocean"	NA	NA	"United States"	"Virginia"	NA	NA	"Norfolk Canyon, Off Virginia Beach"	34.0233	-74.57	NA	"USNOO"	"Gilliss R/V"	"75-08"	NA	NA	750	NA	NA	NA	NA	NA	NA	318454	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:10"	"http://n2t.net/ark:/65665/38a994747-efb5-4a3c-9ad9-2f3947d3e13e"
"USNM 55838"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"2 ca."	NA	"Alcohol (Ethanol)"	"27"	NA	NA	NA	"North Atlantic Ocean"	NA	NA	"United States"	"Virginia"	NA	NA	"Norfolk Canyon, Off Virginia Beach"	37.165	-74.4133	NA	"USNOO"	"Gilliss R/V"	"75-08"	NA	NA	1380	NA	NA	NA	NA	NA	NA	318454	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:10"	"http://n2t.net/ark:/65665/38d995b2d-005f-44fa-8349-d03026718a81"
"USNM 5600"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol); SEM Stub"	"1124"	NA	NA	"Trawl"	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Georges Bank, SW Edge"	40.02	-68.9	NA	NA	"Fish Hawk R/V"	NA	NA	NA	1170	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"1/23/18 21:06"	"http://n2t.net/ark:/65665/35b7d7339-40a6-4792-a30f-162053349b92"
"USNM 80930"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	"Dec-91"	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"2"	NA	"Alcohol (Ethanol)"	"35985"	NA	NA	NA	"North Atlantic Ocean"	NA	NA	"United States"	NA	NA	NA	"Georges Bank, Lydonia Canyon"	40.2033	-68.1367	NA	NA	"Eastward R/V"	"2B-79"	NA	NA	930	NA	NA	NA	NA	NA	NA	336331	NA	NA	NA	NA	NA	NA	NA	"10/21/18 12:25"	"http://n2t.net/ark:/65665/3773afd3f-4312-4353-85f5-367f7f5b9647"
"USNM 86009"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	"USAP project"	"1 ca."	NA	"Alcohol (Ethanol)"	"10"	"University of Southern California"	NA	"Trawl - Blake"	"North Atlantic Ocean"	NA	NA	"Canada"	"Nova Scotia"	NA	NA	"Sable Island, off Banquereau"	44.525	-56.875	NA	"USAP"	"Eltanin R/V"	"2"	NA	NA	403	NA	NA	NA	"USARP/EL/2/10/USC"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"2/9/20 18:47"	"http://n2t.net/ark:/65665/368dcf8bf-34ed-4346-8e72-ce452fdca1fd"
"USNM 9100"	"Specimen/Lot"	"Acanthogorgia armata Verrill, 1878"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Verrill, Addison E., Peabody Museum, Yale"	NA	"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"2046"	"United States Fish Commission"	NA	"Trawl - Beam"	"North Atlantic Ocean"	NA	NA	"United States"	"Massachusetts"	NA	NA	"Nantucket Shoals, SE of"	40.0469	-68.8167	NA	NA	"Albatross R/V"	NA	NA	NA	744	NA	NA	NA	"USFC/A2046"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"10/28/18 18:27"	"http://n2t.net/ark:/65665/3aa021d26-7e85-428a-93a3-a3bb4acf7917"
