´ŽèCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 30045,,"Muricella reticulata Nutting, 1912",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Muricella reticulata Nutting, 1912 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,"Nutting. 1912. Proc. U.S. Natl. Mus. 43: 78,79, pl. 14, fig. 1,1a, pl. 20, fig. 5.",,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol); Slide,4936,United States Fish Commission,8/17/10,"Trawl - Agassiz beam, 9 ft",North Pacific Ocean,Kagoshima Gulf,,Japan,Kagoshima,,,"Kyushu Island, Osumi Strait, Sata Misaki",30.9111,130.625,,Northwestern Pacific Expedition,Albatross R/V,,,,188.00,,,,USFC/A4936,,,51381,,,,,,,,11/25/19 19:18,http://n2t.net/ark:/65665/33d8106b7-5be0-4c8b-8cc3-a1235a00a108
USNM 1075345,,"Muricella reticulata Nutting, 1912",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",5-Oct-86,"Muricella reticulata Nutting, 1912 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),445,,12/17/68,Trawl,Indian Ocean,,,Somalia,,,,SW Of Ras Binnah,9.68,51.05,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,9,,,70.00,,,,,,,260812,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/39c52daab-4a92-4897-8c1c-bac13015fe9e
USNM 1078150,,"Muricella reticulata Nutting, 1912",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",4-Feb-86,"Muricella reticulata Nutting, 1912 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),437,,12/17/68,,Indian Ocean,,,Somalia,,,,Ras Mabber,9.4167,50.9,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,9,,,95.00,,,,,,,260812,,,,,,,,11/4/21 21:42,http://n2t.net/ark:/65665/3e94e3212-1332-47e3-b45e-2c6cf280cebb
USNM 49800,,"Muricella rubra Thomson, 1905",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Muricella rubra Thomson, 1905 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),3,"Wells, J. W.",6/22/54,,North Pacific Ocean,,,Marshall Islands,,,,"Ratak Chain, Arno Atoll, Ine Island",,,,,,,,,2.00,,,,,,,190125,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3af70aef2-668e-439a-af70-da9008668a66
USNM 49804,,"Muricella rubra Thomson, 1905",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Muricella rubra Thomson, 1905 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),65,"Hiatt, R. W.",7/29/54,,North Pacific Ocean,,,Marshall Islands,,,,"Ratak Chain, Arno Atoll, Ine Island",,,,,,,,,5.00,,,,,,,190125,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3e008cdec-eb98-404d-b026-6a44e89f803a
USNM 49731,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3730,United States Fish Commission,5/17/04,Net - Surface Tow,North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Omae Zaki",34.6475,138.016,,,Albatross R/V,,,,68.00,,,,USFC/A3730,,,0,,,,,,,,4/22/19 19:27,http://n2t.net/ark:/65665/39b6a798c-75c4-4fdc-8a10-3e194bc52af7
USNM 49849,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5427,United States Fish Commission,4/4/13,"Trawl - McCormick, 6 ft",North Pacific Ocean,,,Philippines,Palawan,,,"Palawan Island, Rasa Island",9.1917,118.619,,Philippines Expedition,Albatross R/V,,,,68.00,,,,USFC/A5427,,,0,,,,,,,,8/6/19 19:42,http://n2t.net/ark:/65665/3562e8247-7b0f-44e2-b37f-a72b145f202e
USNM 49853,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5519,United States Fish Commission,8/10/13,"Trawl - Tanner Beam, 12 ft",North Pacific Ocean,Mindanao Sea,,Philippines,Zamboanga del Norte,,,"Mindanao Island, Silla Point",8.7833,123.521,,Philippines Expedition,Albatross R/V,,,,333.00,,,,USFC/A5519,,,0,,,,,,,,8/13/19 20:24,http://n2t.net/ark:/65665/38c130727-fd52-43ff-b98d-b2606e0f55a3
USNM 49857,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5146,United States Fish Commission,2/17/12,"Trawl - Agassiz beam, 12 ft, with mud bag",North Pacific Ocean,,,Philippines,Sulu,,,"Tapul Group, Tapul Island, NW of",5.7778,120.814,,Philippines Expedition,Albatross R/V,,,,44.00,,,,USFC/A5146,,,0,,,,,,,,7/18/19 20:06,http://n2t.net/ark:/65665/3298db622-0dcf-4558-b804-4f22dfcfc5c0
USNM 49871,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5153,United States Fish Commission,2/20/12,"Trawl - Agassiz beam, 12 ft, with mud bag",North Pacific Ocean,,,Philippines,"Sulu Archipelago, Tawitawi Group",,,"Tawitawi Island, Languyan Point",5.3028,120.049,,Philippines Expedition,Albatross R/V,,,,90.00,,,,USFC/A5153,,,0,,,,,,,,9/23/19 16:51,http://n2t.net/ark:/65665/3c4aa2625-4c21-45d6-8a1c-cba639c80255
USNM 49906,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5432,United States Fish Commission,4/9/13,"Trawl - McCormick, 6 ft",North Pacific Ocean,,,Philippines,Palawan,,,"Dumaran Island, East of",10.6306,120.2,,Philippines Expedition,Albatross R/V,,,,93.00,,,,USFC/A5432,,,0,,,,,,,,8/6/19 19:54,http://n2t.net/ark:/65665/329f6f2b4-ce8c-418b-81a9-ad00beac9c6c
USNM 49921,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3716,United States Fish Commission,5/12/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Ose Zaki",,,,,Albatross R/V,,,,229.00,,,,USFC/A3716,,,0,,,,,,,,4/22/19 17:19,http://n2t.net/ark:/65665/3dae07364-61c0-4c9a-92e4-74c84985d450
USNM 50144,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5433,United States Fish Commission,4/9/13,"Trawl - McCormick, 6 ft",North Pacific Ocean,,,Philippines,Palawan,,,"Dumaran Island, East of",10.625,120.185,,Philippines Expedition,Albatross R/V,,,,99.00,,,,USFC/A5433,,,0,,,,,,,,8/6/19 20:00,http://n2t.net/ark:/65665/39a59f874-bcb9-4ade-b303-b5b519196a9f
USNM 57514,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3707,United States Fish Commission,5/9/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Ose Zaki",35.0299,138.789,,,Albatross R/V,,,,,"Multiple depths recorded: 63, 70, 75",,,USFC/A3707,,,0,,,,,,,,4/22/19 15:28,http://n2t.net/ark:/65665/3fa8214c2-4153-4f23-b433-718374da7e04
USNM 57515,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3716,United States Fish Commission,5/12/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Ose Zaki",,,,,Albatross R/V,,,,229.00,,,,USFC/A3716,,,0,,,,,,,,4/22/19 17:19,http://n2t.net/ark:/65665/32c82f214-ea7e-428b-a4ad-a61947f41728
USNM 57516,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3716,United States Fish Commission,5/12/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Ose Zaki",,,,,Albatross R/V,,,,229.00,,,,USFC/A3716,,,0,,,,,,,,4/22/19 17:19,http://n2t.net/ark:/65665/35eb6af63-7483-4436-b811-f2ec4d48e3c8
