id,occurrence_id,last_modified,callnumber,title,scientificname,collector,collecting_date,latitude,longitude,datum,geographic_continent,geographic_country,geographic_stateprovince,geographic_county,geographic_municipality,geographic_locality,common_name,type,format,era,geographic_culture,identified_by,identification_references,previous_identifications,associated_references
4195994,urn:uuid:32d80ac6-6a79-47d2-bf7a-c8a8708b4915,2016-03-14T10:19:26.000Z,YPM IZ 006551.CN,Acanthogorgia rugosa; YPM IZ 006551.CN (MS NAME),Acanthogorgia rugosa,,,,,,,,,,,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia rugosa,MS NAME. Det. by: Addison E. Verrill
2912641,urn:uuid:f63f2710-1076-484a-aa38-2faebb6cb78e,2015-12-06T11:47:16.000Z,YPM IZ 028548,"Acanthogorgia; YPM IZ 028548; North America; Atlantic Ocean; USA; Manning Seamount; Coordinates: X 1693, Y 1644; Les Watling, Scott C. France, R/V Atlantis Cruise AT08-01; 2003-07-13",Acanthogorgia,"Les Watling, Scott C. France, R/V Atlantis Cruise AT08-01",2003-07-13,38.2648,-60.5473,,North America,USA,,,Manning Seamount,"Coordinates: X 1693, Y 1644",sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,J. A. Moore,,Acanthogorgia,Det. by: J. A. Moore 2003
2912649,urn:uuid:c32e4a8c-6e22-4432-af53-e3d7b5088599,2015-12-06T11:47:12.000Z,YPM IZ 028550,"Acanthogorgia; YPM IZ 028550; North America; Atlantic Ocean; USA; Manning Seamount; Coordinates: X 1691, Y 1645; Les Watling, Scott C. France, R/V Atlantis Cruise AT08-01; 2003-07-13",Acanthogorgia,"Les Watling, Scott C. France, R/V Atlantis Cruise AT08-01",2003-07-13,38.2648,-60.5474,,North America,USA,,,Manning Seamount,"Coordinates: X 1691, Y 1645",sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,J. A. Moore,,Acanthogorgia,Det. by: J. A. Moore 2003
2925669,urn:uuid:7b8241d5-2091-4e7f-b0fe-c1ab59149d3a,2016-03-16T15:23:08.000Z,YPM IZ 035387,"Acanthogorgia; YPM IZ 035387; North America; Atlantic Ocean; USA; Retriever Seamount; South side of summit; Jon A. Moore, R/V Ronald Brown Cruise RB04-04; 2004-05-22/2004-05-23",Acanthogorgia,"Jon A. Moore, R/V Ronald Brown Cruise RB04-04",2004-05-22/2004-05-23,39.7803,-66.2491,,North America,USA,,,Retriever Seamount,South side of summit,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,J. A. Moore,,Acanthogorgia,Det. by: J. A. Moore 2004
2925670,urn:uuid:14e70ab7-d985-48db-89cc-939986918945,2016-03-16T15:23:08.000Z,YPM IZ 035388,"Acanthogorgia; YPM IZ 035388; North America; Atlantic Ocean; USA; Retriever Seamount; South side of summit; Jon A. Moore, R/V Ronald Brown Cruise RB04-04; 2004-05-22/2004-05-23",Acanthogorgia,"Jon A. Moore, R/V Ronald Brown Cruise RB04-04",2004-05-22/2004-05-23,39.7803,-66.2491,,North America,USA,,,Retriever Seamount,South side of summit,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,J. A. Moore,,Acanthogorgia,Det. by: J. A. Moore 2004
2920244,urn:uuid:60d4ef50-3207-4ba8-aba8-2576d112cc30,2016-03-07T11:41:34.000Z,YPM IZ 047665,"Acanthogorgia; YPM IZ 047665; North America; Atlantic Ocean; Canada; Nova Scotia; Western Bank; Thomas Goodwin, Schr. Elisha Crowell; 1878",Acanthogorgia,"Thomas Goodwin, Schr. Elisha Crowell",1878,,,,North America,Canada,Nova Scotia,,Western Bank,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia
3836804,urn:uuid:7a1283fa-6dc6-4613-b296-668e5393fd95,2016-03-07T11:41:34.000Z,YPM IZ 069330,"Acanthogorgia; YPM IZ 069330; North America; Atlantic Ocean; USA; Picket Seamount; Lauren Mullineaux, Selene Eltgroth, R/V Atlantis Cruise AT12-01; 2005-10-28",Acanthogorgia,"Lauren Mullineaux, Selene Eltgroth, R/V Atlantis Cruise AT12-01",2005-10-28,39.6539919,-65.9487269,,North America,USA,,,Picket Seamount,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia
3969465,urn:uuid:64dd494f-7662-4caa-8c95-70f2e9b8a566,2016-03-07T11:41:34.000Z,YPM IZ 071558,"Acanthogorgia; YPM IZ 071558; Atlantic Ocean; Bear Seamount; J. A. Moore, R/V Pisces, Cruise PC-12-05; 2012-09-03/2012-09-04",Acanthogorgia,"J. A. Moore, R/V Pisces, Cruise PC-12-05",2012-09-03/2012-09-04,39.92766,-67.42720,,,,,,Bear Seamount,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,,,Acanthogorgia
4203901,urn:uuid:e15d049f-cc5e-4a7e-9949-c5a0f8e4a986,2016-04-15T14:12:43.000Z,YPM IZ 079575,Acanthogorgia; YPM IZ 079575; North America; Atlantic Ocean; Canada; Nova Scotia; Sable Island Bank,Acanthogorgia,,,,,,North America,Canada,Nova Scotia,,Sable Island Bank,,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Acanthogorgia,Det. by: Addison E. Verrill
4162131,urn:uuid:18e3fa45-76bf-445d-ab99-a5f86ccaeb94,2016-03-15T11:44:19.000Z,YPM IZ 005965.CN,"Aristogorgia muricata ordinata; YPM IZ 005965.CN (MS NAME); Atlantic Ocean; Caribbean Sea; Barbados; SE of Barbados; Alexander E. Agassiz, U.S. Coast Survey Stmr. Blake; 1879-03-05",Aristogorgia muricata ordinata,"Alexander E. Agassiz, U.S. Coast Survey Stmr. Blake",1879-03-05,13.0639,-59.6181,,,Barbados,,,,SE of Barbados,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Aristogorgia muricata ordinata,MS NAME. Det. by: Addison E. Verrill
4198234,urn:uuid:283b215c-4407-4b1b-83a1-e1a8c02cfe62,2016-03-22T09:08:54.000Z,YPM IZ 005889.CN,"Calicogorgia coronata; YPM IZ 005889.CN (MS NAME); Atlantic Ocean; Caribbean Sea; St. Lucia; off St. Lucia; Alexander E. Agassiz, U.S. Coast Survey Stmr. Blake; 1879-02-15",Calicogorgia coronata,"Alexander E. Agassiz, U.S. Coast Survey Stmr. Blake",1879-02-15,13.8306,-61.0639,,,,,,St. Lucia,off St. Lucia,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Calicogorgia coronata,MS NAME. Det. by: Addison E. Verrill
4198237,urn:uuid:a71a4af1-bfa9-47f8-99bc-c993287a6b40,2016-03-18T11:05:45.000Z,YPM IZ 005921.CN,"Calicogorgia coronella; YPM IZ 005921.CN (MS NAME); Atlantic Ocean; Caribbean Sea; Barbados; S of Barbados; Alexander E. Agassiz, U.S. Coast Survey Stmr. Blake; 1879-03-06",Calicogorgia coronella,"Alexander E. Agassiz, U.S. Coast Survey Stmr. Blake",1879-03-06,12.9133,-59.6083,,,Barbados,,,,S of Barbados,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Calicogorgia coronella,MS NAME. Det. by: Addison E. Verrill
4198363,urn:uuid:7479c349-721e-45c0-a699-e8b1c228cc30,2016-03-18T23:25:08.000Z,YPM IZ 079193,Calicogorgia laxa; YPM IZ 079193 (MS NAME); Atlantic Ocean; Caribbean Sea; West Indies; station unknown; U.S. Coast Survey Stmr. Blake,Calicogorgia laxa,U.S. Coast Survey Stmr. Blake,,,,,,,,,West Indies,station unknown,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Calicogorgia laxa|Paramuricea lacerata|Paramuricea laxa|Paramuricea sublaxa,MS NAME. Det. by: Addison E. Verrill|MS NAME. Det. by: Addison E. Verrill|MS NAME. Det. by: Addison E. Verrill|MS NAME. Det. by: Addison E. Verrill
4168741,urn:uuid:95c2184a-3155-4e00-8658-55a422dad2aa,2016-03-22T10:53:25.000Z,YPM IZ 078585,"Calicogorgia parviflora; YPM IZ 078585 (MS NAME); North America; Atlantic Ocean; USA; Florida; Straits of Florida; about 30 miles S of Sombrero Key; Louis F. Pourtales, U.S. Coast Survey Stmr. Bibb; 1868-05-04",Calicogorgia parviflora,"Louis F. Pourtales, U.S. Coast Survey Stmr. Bibb",1868-05-04,24.2389,-80.9944,,North America,USA,Florida,,Straits of Florida,about 30 miles S of Sombrero Key,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Calicogorgia parviflora|Homeogorgia parviflora,MS NAME. Det. by: Addison E. Verrill|MS NAME. Det. by: Addison E. Verrill
4193529,urn:uuid:32f9fc93-b967-48a2-8b82-882a77f7091b,2016-03-22T10:53:42.000Z,YPM IZ 078878,"Calicogorgia parviflora; YPM IZ 078878 (MS NAME); Atlantic Ocean; Cuba; Havana Province; Havana; 1.6 miles off Chorrera Harbor; Louis F. Pourtales, U.S. Coast Survey Stmr. Corwin; 1867-05-24",Calicogorgia parviflora,"Louis F. Pourtales, U.S. Coast Survey Stmr. Corwin",1867-05-24,,,,,Cuba,Havana Province,,Havana,1.6 miles off Chorrera Harbor,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,PUBLWEB.,Calicogorgia parviflora|Stenogorgia parviflora|Paramuricea parviflora|Swiftia exserta,"MS NAME. Det. by: Addison E. Verrill|MS NAME. Det. by: Addison E. Verrill|MS NAME. Det. by: Addison E. Verrill|HYPOTYPE. See: Pourtales, Louis F. 1867. Contributions to the fauna of the Gulf Stream at great depths. Bulletin of the Museum of Comparative Zoology Harvard University. 1: 103-120."
4198213,urn:uuid:98d68704-63ce-4f21-8201-cc84a7847689,2016-03-18T11:06:22.000Z,YPM IZ 005905.CN,"Calicogorgia pauciflora; YPM IZ 005905.CN (MS NAME); Atlantic Ocean; Caribbean Sea; Grenadines; off Grenadines; Alexander E. Agassiz, U.S. Coast Survey Stmr. Blake; 1879-02-23",Calicogorgia pauciflora,"Alexander E. Agassiz, U.S. Coast Survey Stmr. Blake",1879-02-23,12.5458,-61.4875,,,,,,Grenadines,off Grenadines,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Calicogorgia pauciflora|Paramuricea pauciflora,MS NAME. Det. by: Addison E. Verrill|MS NAME. Det. by: Addison E. Verrill
4198364,urn:uuid:8e0b3276-67ef-40e9-ac54-71f1aa75f8eb,2016-03-22T10:51:26.000Z,YPM IZ 079192,"Calicogorgia pusilla; YPM IZ 079192 (MS NAME); North America; Atlantic Ocean; USA; Florida; Straits of Florida; about 30 miles S of Sombrero Key; Louis F. Pourtales, U.S. Coast Survey Stmr. Bibb; 1868-05-04",Calicogorgia pusilla,"Louis F. Pourtales, U.S. Coast Survey Stmr. Bibb",1868-05-04,24.2389,-80.9944,,North America,USA,Florida,,Straits of Florida,about 30 miles S of Sombrero Key,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Calicogorgia pusilla|Homeogorgia pusilla,MS NAME. Det. by: Addison E. Verrill|MS NAME. Det. by: Addison E. Verrill
4198232,urn:uuid:e95af285-6570-4947-b01d-dfd0830ecaa9,2016-03-22T10:53:02.000Z,YPM IZ 079184,"Homeogorgia simplex; YPM IZ 079184 (MS NAME); North America; Atlantic Ocean; USA; Florida; Straits of Florida; about 30 miles S of Sombrero Key; Louis F. Pourtales, U.S. Coast Survey Stmr. Bibb; 1868-05-04",Homeogorgia simplex,"Louis F. Pourtales, U.S. Coast Survey Stmr. Bibb",1868-05-04,24.2389,-80.9944,,North America,USA,Florida,,Straits of Florida,about 30 miles S of Sombrero Key,sea fans and sea whips; stony corals and anemones; cnidarians; corals; animals,,,,,Addison E. Verrill,,Homeogorgia simplex,MS NAME. Det. by: Addison E. Verrill
