"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 1078150"	NA	"Muricella reticulata Nutting, 1912"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"van Ofwegen, Leen P."	"4-Feb-86"	"Muricella reticulata Nutting, 1912 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"437"	NA	NA	NA	"Indian Ocean"	NA	NA	"Somalia"	NA	NA	NA	"Ras Mabber"	9.4167	50.9	NA	"IIOE - International Indian Ocean Expedition"	"Anton Bruun R/V"	"9"	NA	NA	95	NA	NA	NA	NA	NA	NA	260812	NA	NA	NA	NA	NA	NA	NA	"11/4/21 21:42"	"http://n2t.net/ark:/65665/3e94e3212-1332-47e3-b45e-2c6cf280cebb"
"USNM 49731"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"3730"	"United States Fish Commission"	NA	"Net - Surface Tow"	"North Pacific Ocean"	NA	NA	"Japan"	"Shizuoka"	NA	NA	"Honshu Island, Suruga Bay, Omae Zaki"	34.6475	138.016	NA	NA	"Albatross R/V"	NA	NA	NA	68	NA	NA	NA	"USFC/A3730"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"4/22/19 19:27"	"http://n2t.net/ark:/65665/39b6a798c-75c4-4fdc-8a10-3e194bc52af7"
"USNM 49849"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5427"	"United States Fish Commission"	2004-04-13	"Trawl - McCormick, 6 ft"	"North Pacific Ocean"	NA	NA	"Philippines"	"Palawan"	NA	NA	"Palawan Island, Rasa Island"	9.1917	118.619	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	68	NA	NA	NA	"USFC/A5427"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"8/6/19 19:42"	"http://n2t.net/ark:/65665/3562e8247-7b0f-44e2-b37f-a72b145f202e"
"USNM 49853"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5519"	"United States Fish Commission"	2008-10-13	"Trawl - Tanner Beam, 12 ft"	"North Pacific Ocean"	"Mindanao Sea"	NA	"Philippines"	"Zamboanga del Norte"	NA	NA	"Mindanao Island, Silla Point"	8.7833	123.521	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	333	NA	NA	NA	"USFC/A5519"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"8/13/19 20:24"	"http://n2t.net/ark:/65665/38c130727-fd52-43ff-b98d-b2606e0f55a3"
"USNM 49857"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5146"	"United States Fish Commission"	NA	"Trawl - Agassiz beam, 12 ft, with mud bag"	"North Pacific Ocean"	NA	NA	"Philippines"	"Sulu"	NA	NA	"Tapul Group, Tapul Island, NW of"	5.7778	120.814	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	44	NA	NA	NA	"USFC/A5146"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"7/18/19 20:06"	"http://n2t.net/ark:/65665/3298db622-0dcf-4558-b804-4f22dfcfc5c0"
"USNM 49871"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5153"	"United States Fish Commission"	NA	"Trawl - Agassiz beam, 12 ft, with mud bag"	"North Pacific Ocean"	NA	NA	"Philippines"	"Sulu Archipelago, Tawitawi Group"	NA	NA	"Tawitawi Island, Languyan Point"	5.3028	120.049	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	90	NA	NA	NA	"USFC/A5153"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"9/23/19 16:51"	"http://n2t.net/ark:/65665/3c4aa2625-4c21-45d6-8a1c-cba639c80255"
"USNM 49906"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5432"	"United States Fish Commission"	2004-09-13	"Trawl - McCormick, 6 ft"	"North Pacific Ocean"	NA	NA	"Philippines"	"Palawan"	NA	NA	"Dumaran Island, East of"	10.6306	120.2	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	93	NA	NA	NA	"USFC/A5432"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"8/6/19 19:54"	"http://n2t.net/ark:/65665/329f6f2b4-ce8c-418b-81a9-ad00beac9c6c"
"USNM 50144"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5433"	"United States Fish Commission"	2004-09-13	"Trawl - McCormick, 6 ft"	"North Pacific Ocean"	NA	NA	"Philippines"	"Palawan"	NA	NA	"Dumaran Island, East of"	10.625	120.185	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	99	NA	NA	NA	"USFC/A5433"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"8/6/19 20:00"	"http://n2t.net/ark:/65665/39a59f874-bcb9-4ade-b303-b5b519196a9f"
"USNM 57514"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"3707"	"United States Fish Commission"	2005-09-04	"Trawl - Tanner Beam, 8 ft"	"North Pacific Ocean"	NA	NA	"Japan"	"Shizuoka"	NA	NA	"Honshu Island, Suruga Bay, Ose Zaki"	35.0299	138.789	NA	NA	"Albatross R/V"	NA	NA	NA	NA	"Multiple depths recorded: 63, 70, 75"	NA	NA	"USFC/A3707"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"4/22/19 15:28"	"http://n2t.net/ark:/65665/3fa8214c2-4153-4f23-b433-718374da7e04"
"USNM 75425"	NA	"Muricella sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Alcohol (Ethanol)"	"RFB 1458"	"Bolland, R. F."	NA	"Scuba - Hand"	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village"	26.5	127.848	NA	NA	NA	NA	NA	NA	64	NA	NA	NA	"BOLLAND/RFB 1458"	NA	"Original Number : OK0826RB"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:32"	"http://n2t.net/ark:/65665/3dd0432d1-e3e2-4f08-97c8-740ea69d78c1"
