Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 76106,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",2-Oct-82,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Adakajima",26.75,128.33,,,,,,,27,,,,,,Original Number : OK0493KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3ae8190d9-8a8c-48e3-a899-52a7757216ad
USNM 76142,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",20-Apr-83,,North Pacific Ocean,,,Japan,,,,"Kumejima, Tonbara Iwa",26.27,126.825,,,,,,,30,,,,,,Original Number : OK0531KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3f8e1f0d7-c3c3-4575-a66e-e3afa1aae720
USNM 76242,Specimen/Lot,Acalycigorgia cf. sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",10-Dec-83,,North Pacific Ocean,,,Japan,,,,"Kerama, Higashi Gahi",26.22,127.28,,,,,,,20,,,,,,Original Number : OK0650KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/376033798-db38-4c50-8f3f-79ecb2706f5f
USNM 1015655,Specimen/Lot,"Acalycigorgia grandiflora Kukenthal & Gorzawsky, 1908",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,1979,"Acalycigorgia grandiflora Kukenthal & Gorzawsky, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),1,Turkay,1979,,North Pacific Ocean,,,Japan,Kochi,,Kochi,"Okino Shima Island, East coast of Hime Jima Island",34.57,131.52,,,,,,,to 20,,,,,,,401987,,,,,,,,1/14/13 18:29,http://n2t.net/ark:/65665/3a2889af8-b670-46d3-a0f0-7d5c9eeede0d
USNM 1080276,Specimen/Lot,"Acalycigorgia inermis (Hedlund, 1890)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",10-Mar-82,"Acalycigorgia inermis (Hedlund, 1890) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),442,,16-Dec-64,Trawl,Indian Ocean,,,Somalia,,,,Off NE Coast,9.55,50.98,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,9,,,70 to 80,,,,,,,260812,,,,,,,,1/14/13 18:30,http://n2t.net/ark:/65665/32fe98aaa-f152-4736-8c72-726d337074e3
USNM 49827,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5131,United States Fish Commission,6-Feb-08,"Trawl - Tanner Beam, 9 ft, with Mud Bag",North Pacific Ocean,Sulu Sea,,Philippines,Zamboanga del Norte,,,"Mindanao Island, Panabutan Point",7.6833,122.017,,Philippines Expedition,Albatross R/V,,,,49,,,,USFC/A5131,,,0,,,,,,,,7/17/15 19:42,http://n2t.net/ark:/65665/301fc7730-322e-440b-864d-e3891e453cf9
USNM 49883,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5249,United States Fish Commission,18-May-08,"Dredge - Johnston oyster, 6 ft",North Pacific Ocean,Gulf of Davao,,Philippines,Davao,,,"Mindanao Island, Davao City",7.1017,125.669,,Philippines Expedition,Albatross R/V,,,,42,,,,USFC/A5249,,,0,,,,,,,,7/23/15 13:44,http://n2t.net/ark:/65665/38453b308-1742-4269-a1f9-d135984f5e1a
USNM 49934,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5414,United States Fish Commission,24-Mar-09,"Trawl - McCormick, 6 ft",North Pacific Ocean,,,Philippines,Bohol,,,"Bohol Island, Jeta Fe, Bohol Strait",10.1778,124.046,,Philippines Expedition,Albatross R/V,,,,,,,,USFC/A5414,,,0,,,,,,,,8/5/15 19:01,http://n2t.net/ark:/65665/3658fc1f5-5dfc-4ed7-9f26-2fc472c4546c
USNM 49939,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5152,United States Fish Commission,18-Feb-08,"Trawl - Agassiz beam, 12 ft, with mud bag",North Pacific Ocean,,,Philippines,"Sulu Archipelago, Tawitawi Group",,,"Tawitawi Island, Tabolongan Island",5.3819,120.263,,Philippines Expedition,Albatross R/V,,,,62,,,,USFC/A5152,,,0,,,,,,,,10/15/15 20:56,http://n2t.net/ark:/65665/3c2b8fe63-d866-4b5e-bc89-ea7b0fdd1eed
USNM 49962,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5554,United States Fish Commission,18-Sep-09,"Trawl - McCormick, 6 ft",North Pacific Ocean,,,Philippines,Sulu,,,"Sulu Archipelago, Jolo Island, Parang",5.8742,120.872,,Philippines Expedition,Albatross R/V,,,,46,,,,USFC/A5554,,,0,,,,,,,,8/4/15 13:50,http://n2t.net/ark:/65665/3f3ab552f-0276-4a82-ada8-c2396f2a7f7b
