Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 77599,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",21-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ototojima, Komori",27.175,142.18,,,,,,,35,,,,,,Original Number : OG0092KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/378f7ad7c-f990-4109-ae63-650b8ecdaed3
USNM 77600,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",21-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ototojima, Komori",27.175,142.18,,,,,,,35,,,,,,Original Number : OG0093KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/356523f39-1c81-49e8-87da-bdaa007ba435
USNM 77605,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",21-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ototojima, Hirone",27.18,142.18,,,,,,,25,,,,,,Original Number : OG0099KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3a201163b-dad3-4ff3-be27-e57dffc74f41
USNM 77606,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",21-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ototojima, Hirone",27.18,142.18,,,,,,,25,,,,,,Original Number : OG0100KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3d98d6b0d-91d8-46d8-9bdf-1a8e0b298c8b
USNM 77607,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",23-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Aniseto, Tsurinohama",27.1,142.208,,,,,,,26,,,,,,Original Number : OG0101KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3d5375b9e-1b48-4c92-ad18-7dbbaf66e806
USNM 77608,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",23-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Aniseto, Tsurinohama",27.1,142.208,,,,,,,30,,,,,,Original Number : OG0103KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/31fbcb7da-7273-4c51-8e51-6451cb709b8b
USNM 77609,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",23-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Aniseto, Tsurinohama",27.1,142.208,,,,,,,33,,,,,,Original Number : OG0104KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/367d5549a-1b54-42a9-b9b8-d006e47b3be4
USNM 77611,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",23-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Aniseto, Tsurinohama",27.1,142.208,,,,,,,20,,,,,,Original Number : OG0106KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/326f46182-93a4-46f2-9a5c-85f0d96b7ea9
USNM 77613,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",27-Nov-81,,North Pacific Ocean,,,Japan,,,,"Shikoku Island, Ikenoura",33.3883,133.443,,,,,,,30,,,,,,Original Number : JP0011KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/33225ea83-1cd5-4146-bb68-d4780680bc09
USNM 77617,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",24-May-82,,North Pacific Ocean,,,Japan,,,,"Honshu Island, Izu",34.8,139.2,,,,,,,46,,,,,,Original Number : JP0026KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/39e016f16-7bb0-4338-93ae-3cc31b70b03a
USNM 77620,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",24-May-82,,North Pacific Ocean,,,Japan,,,,"Honshu Island, Izu",34.8,139.2,,,,,,,25,,,,,,Original Number : JP0029KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/385650323-24e3-4986-acec-067fab822655
USNM 77628,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",23-Apr-82,,North Pacific Ocean,,,Japan,,,,"Kyushu Island, Amakusa, Nojima, Tsuji Island",,,,,,,,,6 to 9,,,,,,Original Number : JP0041KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3a6cb093c-b15f-4bbb-8fa7-b438345e9acb
USNM 77645,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",25-May-81,,North Pacific Ocean,Sulu Sea,,Philippines,,,,"Tubbataha Reefs, S Part",9.72,119.73,,,,,,,30,,,,,,Original Number : PH0036KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3d96c7b46-851d-424d-bb3f-360ecc6eef81
USNM 77648,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",30-May-81,,North Pacific Ocean,,,Philippines,Batangas,,,"Luzon Island, Cathedral Rock",,,,,,,,,33,,,,,,Original Number : PH0043KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3643e179e-155e-4225-a964-d10775857c33
USNM 77649,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",30-May-81,,North Pacific Ocean,,,Philippines,Batangas,,,"Luzon Island, Cathedral Rock",,,,,,,,,33,,,,,,Original Number : PH0045KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3b8b14cdd-71bf-4e99-b424-661901307afc
USNM 77651,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",31-May-81,,North Pacific Ocean,,,Philippines,Batangas,,,"Luzon Island, Sombrero Island, Bajora, SE Part",,,,,,,,,33,,,,,,Original Number : PH0050KM,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/399e1b4ca-bfef-48f1-8a8e-7de9f051d781
USNM 79981,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,Tanaka,8-Nov-86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Kayauchibanta, S Of Hedo Point",26.85,128.25,,,,,,,15,,,,,,,350091,,,,,,,,5/10/16 17:32,http://n2t.net/ark:/65665/3a012afa7-98f7-4447-9ed1-8257df3abfba
USNM 87970,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,,,,North Pacific Ocean,,,Palau,,,,,7.5,134.5,,,,,,,,,,,,,,0,,,,,,,,10/20/14 13:05,http://n2t.net/ark:/65665/3a609dd7b-bf64-494a-b6f0-78ecd9012a48
USNM 92319,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",20-Sep-93,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",11-Jan-76,,North Pacific Ocean,,,Palau,,,,"Malakal Island, Near Koror",,,,,,,,,21,,,,,,,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/31ca0dcaa-786a-4551-8466-5702f1ea4125
USNM 92410,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),RFB 1281,"Bolland, R. F.",15-Oct-84,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,0 to 46,,,,BOLLAND/RFB 1281,,,395425,,,,,,,,10/20/14 13:31,http://n2t.net/ark:/65665/37fd7d104-315e-4902-807f-a3d45fb4ef26
USNM 92943,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",3-Sep-92,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),RFB 1219,"Bolland, R. F.",16-Jul-84,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,to 37,,,,BOLLAND/RFB 1219,,,395425,,,,,,,,10/20/14 13:34,http://n2t.net/ark:/65665/3ad7a0a19-2224-4254-9bab-4a77e1d74386
USNM 1015656,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),2,Turkay,1979,,North Pacific Ocean,,,Japan,Kochi,,Kochi,"Okino Shima Island, East coast of Hime Shima Island",34.57,131.52,,,,,,,to 20,,,,,,,401987,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/39f434e3b-c946-4fd4-8b81-7b090677cd99
USNM 1015657,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3,Turkay,1979,,North Pacific Ocean,,,Japan,Kochi,,Kochi,"Okino Shima Island, East coast of Hime Shima Island",34.57,131.52,,,,,,,to 20,,,,,,,401987,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/3d330a6c3-527c-4257-bf99-833b93802f1b
USNM 1197460,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Chen, C. C.",16-Oct-85,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Chen, C. C.",Jun 1985  Sep 1985 (Summer 1985),,North Pacific Ocean,,,Taiwan,,,,Off southern coast,,,,,,,,,to 14,,,,,,specimen number : A-12,366454,,,,,,,,1/14/13 18:30,http://n2t.net/ark:/65665/3ef8fa6e0-14bd-49b2-9fce-862cdba6e914
USNM 1197461,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Chen, C. C.",16-Oct-85,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Chen, C. C.",Jun 1985  Sep 1985 (Summer 1985),,North Pacific Ocean,,,Taiwan,,,,Off southern coast,,,,,,,,,to 7,,,,,,specimen number : A-13,366454,,,,,,,,1/14/13 18:30,http://n2t.net/ark:/65665/3fc3663d2-b98c-40b1-82d3-4cd8bbac05a8
USNM 1197462,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Chen, C. C.",16-Oct-85,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Chen, C. C.",Jun 1985  Sep 1985 (Summer 1985),,North Pacific Ocean,,,Taiwan,,,,Off southern coast,,,,,,,,,to 15,,,,,,specimen number : A-14,366454,,,,,,,,1/14/13 18:30,http://n2t.net/ark:/65665/3664ba412-40c7-4db3-8d9f-ac9ed17c4978
USNM 1198175,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Chen, C. C.",1985,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Chen, C. C.",,,North Pacific Ocean,,,Taiwan,,,,Off southern coast,,,,,,,,,11 to 12,,,,,,specimen number : A11,366454,,,,,,,,1/28/13 16:56,http://n2t.net/ark:/65665/330d2b3fa-1deb-4215-9fc4-f2b24eb59b29
USNM 1233282,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",21-Nov-82,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ototojima, Hirone",27.18,142.18,,,,,,,25,,,"""C"" orange stillate clumpy coevenely (sp?) acalycigorgia calyses",,,,350091,,,,,,,,5/10/16 17:36,http://n2t.net/ark:/65665/3df636c14-aca8-485f-b5f6-f6a09805aba2
USNM 44169,Specimen/Lot,"Acalycigorgia wireni Aurivillius, 1931",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Aurivillius, M.",,"Acalycigorgia wireni Aurivillius, 1931 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,"Chun. 1931. K. Svenska Vetensk. Akad. Handl. 9(4): 41-45, fig. 7, pl. 2, fig. 4.",Schizotype,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 Fragment(s),,Alcohol (Ethanol),,"Bock, S.",18-May-14,,North Pacific Ocean,,,Japan,,,,"Korea Strait, Okino Shima, Kiu-Shiu",34.33,130.33,,,,,,,100,,,,,,,181299,,,,,,,,1/26/17 20:25,http://n2t.net/ark:/65665/3b23c36b3-fda1-463a-83ff-5435eb972918
USNM 80943,Specimen/Lot,"Acanthogorgia aldabra Bayer, 1996",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Dec-87,"Acanthogorgia aldabra Bayer, 1996 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Holotype,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol); SEM Stub,JS-14,"Stefani, J.",7-Apr-87,,Indian Ocean,,,Seychelles,,,,"Aldabra Atoll, Ile Picard, West Of Settlement, Near Buoy",,,,,,,,,12 to 17,,,,,,,355515,,,,,,,,10/20/14 12:25,http://n2t.net/ark:/65665/3284f9745-720a-42da-9d0c-764918149164
USNM 100895,Specimen/Lot,"Acanthogorgia angustiflora Kukenthal & Gorzawsky, 1908",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",26-Feb-01,"Acanthogorgia angustiflora Kukenthal & Gorzawsky, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3 ca.,,Dry; Alcohol (Ethanol),16,"Turnipseed, M.",5-Dec-00,Trawl - Shrimp,North Atlantic Ocean,,,United States,,,,South Of Georges Bank,39.8756,-67.4219,,,Delaware II R/V,11,,,,,,,,DQ297418; DQ297437,,2020022,,,,,,,,10/5/17 14:01,http://n2t.net/ark:/65665/3c72f47e0-436f-40a1-9029-0f77870d9033
USNM 11917,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2528,United States Fish Commission,13 Jul 1885,Trawl - Large Beam,North Atlantic Ocean,,,United States,Massachusetts,,,Between Georges and Browns Banks,41.7833,-65.625,,,Albatross R/V,,,,1421,,,,USFC/A2528,,,0,,,,,,,,12/22/14 19:51,http://n2t.net/ark:/65665/39b7edddd-bfdd-4fdf-936d-740884c7b206
USNM 11976,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2528,United States Fish Commission,13 Jul 1885,Trawl - Large Beam,North Atlantic Ocean,,,United States,Massachusetts,,,Between Georges and Browns Banks,41.7833,-65.625,,,Albatross R/V,,,,1421,,,,USFC/A2528,,,0,,,,,,,,12/22/14 19:51,http://n2t.net/ark:/65665/364edc2fb-0a1d-4fb7-8063-36692c48ad7a
USNM 14482,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Deichmann, Elizabeth",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,6 ca.,,Alcohol (Ethanol),2668,United States Fish Commission,5 May 1886,Trawl - Large Beam,North Atlantic Ocean,,,United States,Georgia,,,Cumberland Island,30.975,-79.6417,,,Albatross R/V,,,,538,,,,USFC/A2668,,,0,,,,,,,,1/8/15 19:18,http://n2t.net/ark:/65665/389146c05-2d29-4367-b542-90d763f51a22
USNM 16952,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),863,"Mckinnon, D.",30 Sep 1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,Grand Banks,,,,Gloucester Fisheries,Schooner Mary F. Chisholm,,,,731,,,,,,,0,,,,,,,,1/14/13 18:11,http://n2t.net/ark:/65665/3a785babd-f9d7-46ea-baf3-d73220324a52
USNM 16953,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),804,"Morrisey, J. D.",16 Aug 1880,,North Atlantic Ocean,,,Canada,Newfoundland,,,"Grand Banks, Western Edge",,,,,Schooner Plymouth Rock,,,,,,,,,,,0,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/345ce8296-8ca5-4486-8140-cc47bbdd977e
USNM 17237,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Verrill, Addison E., Peabody Museum, Yale",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2046,United States Fish Commission,31 Jul 1883,Trawl - Beam,North Atlantic Ocean,,,United States,Massachusetts,,,"Nantucket Shoals, SE of",40.0469,-68.8167,,,Albatross R/V,,,,744,,,,USFC/A2046,,,0,,,,,,,,10/27/14 18:27,http://n2t.net/ark:/65665/3e6075c48-3180-493f-829b-89bef4be33d2
