"﻿Catalog_Number"	"Kind_of_Object"	"Scientific_Name"	"Family"	"Phylum"	"Class"	"Order"	"Identified_By"	"Date_Identified"	"Current_Identification"	"Other_Identifications"	"Type_Status"	"Type_Citations"	"Kind_of_Voucher"	"Classification"	"Common_Name"	"Collection_Name"	"Specimen_Count"	"Sex_and_Stage"	"Preparation"	"Station_Number"	"Collector(s)"	"Date_Collected"	"Collection_Method"	"Ocean"	"Sea/Gulf"	"Bay/Sound"	"Country"	"Province/State"	"District/County"	"City/Town"	"Precise_Locality"	"Centroid_Latitude"	"Centroid_Longitude"	"Elevation_(m)"	"Expedition_Name"	"Vessel"	"Cruise"	"River_Basin"	"Microhabitat_Description"	"Depth_(m)"	"Depth_Notes"	"Geologic_Age"	"Notes"	"Field_Number(s)"	"GenBank_Numbers"	"Other_Numbers_(Type:Value)"	"Accession_Number"	"Genetic_Sample_Type"	"Biorepository_Number"	"Specimen_Voucher_Number"	"Bold_ID"	"Preservation_Method"	"Embargo?"	"Depleted?"	"Record_Last_Modified"	"EZID"
"USNM 76106"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	"Okinawa"	NA	NA	"Ryukyu Islands, Okinawa Island, Adakajima"	26.75	128.33	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	"Original Number : OK0493KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3ae8190d9-8a8c-48e3-a899-52a7757216ad"
"USNM 76142"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	NA	NA	NA	"Kumejima, Tonbara Iwa"	26.27	126.825	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	"Original Number : OK0531KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/3f8e1f0d7-c3c3-4575-a66e-e3afa1aae720"
"USNM 76242"	"Specimen/Lot"	"Acalycigorgia cf. sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Muzik, Katherine, (UNITED STATES)"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1 ca."	NA	"Dry"	NA	"Muzik, K."	NA	NA	"North Pacific Ocean"	NA	NA	"Japan"	NA	NA	NA	"Kerama, Higashi Gahi"	26.22	127.28	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	"Original Number : OK0650KM"	350091	NA	NA	NA	NA	NA	NA	NA	"5/11/20 17:36"	"http://n2t.net/ark:/65665/376033798-db38-4c50-8f3f-79ecb2706f5f"
"USNM 1015655"	"Specimen/Lot"	"Acalycigorgia grandiflora Kukenthal & Gorzawsky, 1908"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	NA	"1979"	"Acalycigorgia grandiflora Kukenthal & Gorzawsky, 1908 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"1"	"Turkay"	2006-02-09	NA	"North Pacific Ocean"	NA	NA	"Japan"	"Kochi"	NA	"Kochi"	"Okino Shima Island, East coast of Hime Jima Island"	34.57	131.52	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	401987	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:29"	"http://n2t.net/ark:/65665/3a2889af8-b670-46d3-a0f0-7d5c9eeede0d"
"USNM 1080276"	"Specimen/Lot"	"Acalycigorgia inermis (Hedlund, 1890)"	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"van Ofwegen, Leen P."	"11-Mar-86"	"Acalycigorgia inermis (Hedlund, 1890) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"442"	NA	NA	"Trawl"	"Indian Ocean"	NA	NA	"Somalia"	NA	NA	NA	"Off NE Coast"	9.55	50.98	NA	"IIOE - International Indian Ocean Expedition"	"Anton Bruun R/V"	9	NA	NA	80	NA	NA	NA	NA	NA	NA	260812	NA	NA	NA	NA	NA	NA	NA	"1/15/17 18:30"	"http://n2t.net/ark:/65665/32fe98aaa-f152-4736-8c72-726d337074e3"
"USNM 49827"	"Specimen/Lot"	"Acalycigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5131"	"United States Fish Commission"	2002-07-12	"Trawl - Tanner Beam, 9 ft, with Mud Bag"	"North Pacific Ocean"	"Sulu Sea"	NA	"Philippines"	"Zamboanga del Norte"	NA	NA	"Mindanao Island, Panabutan Point"	7.6833	122.017	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	49	NA	NA	NA	"USFC/A5131"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"7/18/19 19:42"	"http://n2t.net/ark:/65665/301fc7730-322e-440b-864d-e3891e453cf9"
"USNM 49883"	"Specimen/Lot"	"Acalycigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5249"	"United States Fish Commission"	NA	"Dredge - Johnston oyster, 6 ft"	"North Pacific Ocean"	"Gulf of Davao"	NA	"Philippines"	"Davao"	NA	NA	"Mindanao Island, Davao City"	7.1017	125.669	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	42	NA	NA	NA	"USFC/A5249"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"7/24/19 13:44"	"http://n2t.net/ark:/65665/38453b308-1742-4269-a1f9-d135984f5e1a"
"USNM 49934"	"Specimen/Lot"	"Acalycigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5414"	"United States Fish Commission"	NA	"Trawl - McCormick, 6 ft"	"North Pacific Ocean"	NA	NA	"Philippines"	"Bohol"	NA	NA	"Bohol Island, Jeta Fe, Bohol Strait"	10.1778	124.046	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	NA	NA	NA	NA	"USFC/A5414"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"8/6/19 19:01"	"http://n2t.net/ark:/65665/3658fc1f5-5dfc-4ed7-9f26-2fc472c4546c"
"USNM 49939"	"Specimen/Lot"	"Acalycigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5152"	"United States Fish Commission"	NA	"Trawl - Agassiz beam, 12 ft, with mud bag"	"North Pacific Ocean"	NA	NA	"Philippines"	"Sulu Archipelago, Tawitawi Group"	NA	NA	"Tawitawi Island, Tabolongan Island"	5.3819	120.263	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	62	NA	NA	NA	"USFC/A5152"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"10/16/19 20:56"	"http://n2t.net/ark:/65665/3c2b8fe63-d866-4b5e-bc89-ea7b0fdd1eed"
"USNM 49962"	"Specimen/Lot"	"Acalycigorgia sp."	"Acanthogorgiidae"	"Cnidaria"	"Anthozoa"	"Gorgonacea"	"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History"	NA	"Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria"	NA	NA	NA	NA	"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae"	"Octocorals"	NA	"1"	NA	"Alcohol (Ethanol)"	"5554"	"United States Fish Commission"	NA	"Trawl - McCormick, 6 ft"	"North Pacific Ocean"	NA	NA	"Philippines"	"Sulu"	NA	NA	"Sulu Archipelago, Jolo Island, Parang"	5.8742	120.872	NA	"Philippines Expedition"	"Albatross R/V"	NA	NA	NA	46	NA	NA	NA	"USFC/A5554"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	"8/5/19 13:50"	"http://n2t.net/ark:/65665/3f3ab552f-0276-4a82-ada8-c2396f2a7f7b"
