ï»¿Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 8848,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",2/2/00,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria","Primnoa compressa Verrill, 1865",,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,5,,Dry; Slide,,"Dall, W. H.",1872,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Fox Islands, Akutan Pass, Chica Island",54.12,-165.92,,U.S. Coast Survey,,,,,,,,,,,,0,,,,,,,,10/21/18 13:07,http://n2t.net/ark:/65665/364b2eb0a-d9b7-446c-84aa-a9f06aa2cd24
USNM 8849,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria","Fanellia compressa (Verrill, 1865); Primnoa compressa Verrill, 1865",,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Dry,,"Dall, W. H.",1872,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Fox Islands, Akutan Pass, Gull Island",54.12,-165.92,,U.S. Coast Survey,,,,,,,,,,,reference number : 202,0,,,,,,,,10/21/18 13:07,http://n2t.net/ark:/65665/3563de0b8-9fa6-496a-83f8-4bbdef335005
USNM 1004602,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",9/27/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,,27-Feb-05,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,,,,,,,,,,,,,,AB01-45,,,2021644,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3c5a5c101-c222-4854-bb95-b0b4cf4eba68
USNM 1006139,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",9/26/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,4,,DRY; Alcohol (Ethanol),,"Lindner, A.",23-May-05,snail bag,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Fox Islands, Unalaska Island",53.1439,-167.14,,NOAA Expedition 2001,Vesteraalen R/V,2001-01,,,107.00,,,,haul 7 #1,,,2022850,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3d0cb1e74-31ba-48bb-8c3d-75af94b49f7b
USNM 1006226,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/9/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,DRY,,"Slear, J.",22-Nov-04,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, Semisopochnoi Island",51.8925,179.336,,,,,,,,,,,AB01-46,,,2022850,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3d351e49e-a879-483e-a180-f533c9b47d0a
USNM 1006249,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/9/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,DRY,,"Slear, J.",5-Dec-04,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,,,,,,,,,,,,,,"AB01-4, sample #AE114",,,2022850,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/356857ac2-0eb5-46b0-acf7-85e889de3477
USNM 1006324,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",3/1/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,DRY,,"Palmer, D.",27-Jan-04,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, southeast of Rat Islands",52.231,175.159,,,Alaska Sea R/V,,,,183.00,,,,AB00-38,,,2019546,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/37e18a5cf-a150-4c54-8181-e8b599ae62ec
USNM 1011013,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",3/3/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),AB80-26,"Barr, L.; Mercier, J.",3-Jun-78,Scuba,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, Amchitka Island, Kirilof Point, near tip of point",,,,,,,,vertical bedrock wall,24.00,,,,,,,2019546,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/32b225af5-0e41-4a5b-8aef-96c6dcdfaf1f
USNM 1011026,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",3/17/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),AB99-15,"Stone, R.",3-Jun-03,Scuba,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Little Port Walter Light, Alex's Grotto, gorgonian growth study site",,,,,,,,,30.00,,,,,,,2019546,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3e8a4f115-d09f-4848-966c-728230869cc2
USNM 1011027,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",3/3/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),AB99-14,"Stone, R.",2-Jun-03,Scuba,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Tenahee Inlet, East Point, gorgonian growth study site",,,,,,,,,21.00,,,,,,,2019546,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/369d683a0-99fc-4462-b49f-ebbc76d6995c
USNM 1011029,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",3/3/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),AB70-99,Ellis; Williamson; Hoopes; Barr,2-Jul-74,Scuba,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Liesnoi Island, Peril Strait",,,,,,,,,15.00,,,,,,,2019546,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3147555d0-dfc9-469b-a424-8e16412fe7f6
USNM 1011030,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",3/3/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),AB62-172,"Guost, J. G.",9-May-66,Scuba,North Pacific Ocean,Gulf of Alaska,,United States,Alaska,,,"Alexander Archipelago, Baranof Island, Little Port Walter",,,,,,,,,11.00,,,,,,,2019546,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3187d3dce-5087-43be-a9cf-e4bbfcc5a777
USNM 1011072,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",3/3/05,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),AB77-72,"Carlson, H. R.",18-Jul-81,Scuba,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Lisianski Strait, 50 yards from shore",,,,,,,,,10.00,,,,,,,2019546,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/38d90603e-40a4-4e04-8116-320a2fb1d194
USNM 1012500,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol); SEM Stub,haul 44,,12-Jun-98,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Fox Islands, Umnak Island",53.1945,-169.685,,,Vesteraalen R/V,94-1,,,431.00,,,,"94D #1, 94-15, 32",,,412888,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3604a5775-b4b9-4437-b6aa-e998e87d8105
