ï»¿Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 1006154,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/9/05,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,DRY,,"Renfro, K.",9-Mar-04,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, east of the Delarof Islands",51.6962,-178.342,,,Spirit of the North R/V,,,,280.00,,,,"AB01-64, sample #16",,,2022850,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3a286394e-d0f6-49b0-bc1c-e40f392ea721
USNM 1010177,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/24/09,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,DRY,135,,25-Jun-04,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, Semisopochnoi Island",52.1756,179.608,,,Dominator R/V,,,,135.00,,,,,,,2026552,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3d298502c-d549-411c-a6ff-fb46c1222904
USNM 1011091,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/26/09,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3,,Alcohol (Ethanol),Dive 5604,"Melecha, P.",17-Jul-06,Submersible,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, Semisopochnoi Island, Petrel Bank",52.2243,-179.888,,,Delta DSR/V,,,,40.00,,,,"AB02-121, sample #27 & 28",,,2039591,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3e413aa6f-1e00-4731-8690-ee18f2ebb2a4
USNM 1011092,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/26/09,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),Dive 5515,"Stone, R.",23-Jul-06,Submersible,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, Middle Reef",51.8864,176.189,,,Delta DSR/V,,,,54.00,,,,"AB02-136, sample #57",,,2039591,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/31ae193f5-ec06-44d6-addc-dfeafd138f39
USNM 1011273,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/26/09,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Stone, R.; Malecha, P.; Courtney, D.",22-Jul-06,Scuba,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Andreanof Islands, Adak Island, Beyer Bay",51.6427,-176.328,,,,,,,24.00,,,,"AB02-133, sample #52, 53",,,2039591,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/30fd285f1-1a8a-4012-abb4-f1ce6997a716
USNM 1011275,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",6/26/09,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,Dive 5515,"Stone, R.",23-Jul-06,Submersible,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Andreanof Islands, Little Tanaga Pass",51.8845,-176.189,,,Delta DSR/V,,,,52.00,,,,"AB02-139, sample #59",,,2039591,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/310b03fcc-1498-4edd-8e32-7e821f965bf9
USNM 1013069,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),haul 121,,6-Jul-98,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Andreanof Islands, Tanaga Island",51,-178,,,Pacific Knight R/V,,,,375.00,,,,"94T, 94-18, 4",,,412888,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3d693c1a0-a7dd-4865-8975-f7be6d2607cb
USNM 1071926,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,2354,United States Fish Commission,22 Jan 1885,Trawl - Small Beam,North Atlantic Ocean,Caribbean Sea,,Mexico,Quintana Roo,,,"Yucatan Channel, Cozumel Island",20.9917,-86.3958,,,Albatross R/V,,,,238.00,,,,USFC/A2354,,,,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/34edb316d-5400-4ab0-9054-f69bb2e7a906
USNM 1071933,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Trelease, W.",,,North Atlantic Ocean,,,Azores,,,,Corvo,,,,,,,,,,,,,,,,29882,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3a8d7364a-11bc-4357-a9fa-70dea4774019
USNM 1133587,Specimen/Lot,Calcigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Stone, Robert, (AFSC/TSMRI), National Marine Fisheries Service (UNITED STATES)",,Calcigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),6224,,7-Jul-08,,North Pacific Ocean,,,United States,Alaska,,,"Aleutian Islands, Andreanof Islands, South of Amilia Island",51.9716,-173.946,,,Delta DSR/V,,,,96.00,,,,,,,2035964,,,,,,,,10/9/18 17:15,http://n2t.net/ark:/65665/3601bcc17-9505-4fd2-ae3b-fa23cd7ba4d2
